Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Trevor Larnach","MIN",50,188,6,23,32,1,0.12765957,0.35638298,0.18518519,0.31868132,0.21604938,0.31382979,0.40123457,0.3093424162125205,0.326,96.0241098163964,0.5509831686504185,-0.34608801560544955,-2.8503112196922302,0.3233309789127714,"Trevor Larnach",21501,663616
"Josh Bell","- - -",123,503,19,43,61,0,0.10536779,0.21471173,0.17673379,0.27950311,0.24384787,0.32405567,0.42058166,0.3234240922082468,0.35,106.20341560660704,-3.7436926984228194,0.14439523117197295,-14.109344124794006,0.3195438724822399,"Josh Bell",13145,605137
"Jake Cave","PHI",50,152,5,14,19,3,0.06578947,0.22368421,0.16666667,0.27722772,0.23913043,0.29139073,0.4057971,0.3000349694529906,0.312,85.9912998271209,0.4636544198729098,-2.160876987341903,0.21044015884399414,0.3181052207320779,"Jake Cave",14477,595909
"Nick Ahmed","ARI",68,199,2,14,17,5,0.05527638,0.24623116,0.09574468,0.2919708,0.22340426,0.26633166,0.31914894,0.257573253245809,0.265,57.93684975224498,0.47385529801249504,-9.843424721349761,6.264845132827759,0.31406642116623684,"Nick Ahmed",12147,605113
"Oneil Cruz","PIT",9,40,1,7,4,3,0.175,0.2,0.125,0.29166667,0.25,0.375,0.375,0.3353008508682251,0.324,108.16491463047551,1.200887333136052,1.603439330343387,0.12552690505981445,0.30770736483254457,"Oneil Cruz",21711,665833
"JJ Bleday","OAK",77,284,10,34,27,5,0.13380282,0.23239437,0.17012448,0.23214286,0.2033195,0.31338028,0.37344398,0.30395506595222044,0.3,96.27092517401753,0.8603818919509649,-0.41064317185931953,-6.2327128648757935,0.3071457566797148,"JJ Bleday",26368,668709
"Greg Allen","NYY",22,28,1,6,1,3,0.07142857,0.35714286,0.26086957,0.33333333,0.2173913,0.33333333,0.47826087,0.3490929736031426,0.2,125.03829563776398,0.6330730402842164,1.4744632826078796,0.5700254440307617,0.29995369787579834,"Greg Allen",16623,656185
"Garrett Cooper","- - -",103,390,14,34,52,0,0.05641026,0.29230769,0.16438356,0.34033613,0.26027397,0.30512821,0.42465753,0.31479022930829953,0.318,97.58537755782085,-2.8709165416657925,-4.031627770535872,-6.140469253063202,0.29994884727817217,"Garrett Cooper",15279,643265
"Jonny Deluca","LAD",24,45,2,5,6,1,0.06666667,0.17777778,0.16666667,0.28125,0.26190476,0.31111111,0.42857143,0.31999611059824623,0.272,102.24094786050983,0.4161354531534016,0.5404307259672165,0.9329168796539307,0.29904490628265123,"Jonny Deluca",26365,676356
"Luke Maile","CIN",65,160,5,13,20,1,0.05625,0.25,0.17006803,0.30392157,0.24489796,0.30188679,0.41496599,0.3108875024243721,0.314,88.49062701776353,-2.2515937299467623,-4.521364469893184,2.0156149864196777,0.2896279099879622,"Luke Maile",13355,571912
"Kevin Pillar","ATL",65,160,7,23,23,4,0.0375,0.24375,0.19078947,0.25925926,0.23026316,0.25625,0.42105263,0.28630034625530243,0.3,76.02263217771491,1.6017746841534972,-3.126817219849621,0.6121538877487183,0.2887374332861806,"Kevin Pillar",12434,607680
"Keibert Ruiz","WSN",112,461,16,43,55,1,0.06290672,0.09544469,0.15801887,0.25409836,0.25707547,0.31236443,0.41509434,0.31487071306809133,0.333,96.72331497802038,-5.644580079242587,-7.506435559476627,-5.185162544250488,0.2878571642187063,"Keibert Ruiz",19610,660688
"Corey Julks","HOU",93,323,6,35,33,15,0.06811146,0.23219814,0.10738255,0.30593607,0.24496644,0.29721362,0.35234899,0.28556443404856113,0.294,79.61315032797057,0.6570241767913103,-7.245890982733934,-0.9516201019287109,0.2852032978078121,"Corey Julks",20311,667452
"Michael Perez","NYM",2,7,0,1,0,0,0,0.14285714,0.14285714,0.66666667,0.57142857,0.57142857,0.71428571,0.5558354599135262,0.395,263.68451909095694,0.07712784828618169,1.4893921871634384,1.085747603327036,0.2808743246679705,"Michael Perez",12977,605421
"Evan Longoria","ARI",61,195,11,24,25,0,0.08717949,0.32307692,0.24,0.28846154,0.23428571,0.2974359,0.47428571,0.3261877478697361,0.337,104.13250655288945,-2.0897138928994536,-1.0964640424199175,-2.6946996450424194,0.279330980583384,"Evan Longoria",9368,446334
"Jorge Mateo","BAL",101,310,7,47,32,26,0.05483871,0.23548387,0.13380281,0.25603865,0.21126761,0.2557377,0.34507042,0.2604080565640184,0.286,62.31001245111621,2.3883225806057453,-11.634077841064299,3.815650060772896,0.2786347713179232,"Jorge Mateo",17273,622761
"Andrew Vaughn","CHW",124,507,17,56,69,0,0.06114398,0.20315582,0.17278618,0.29275362,0.25485961,0.31558185,0.42764579,0.3218193375147306,0.327,102.9647074475488,-4.684389876201749,-2.880439940903968,-11.693110466003418,0.27722091307642094,"Andrew Vaughn",26197,683734
"Gabriel Arias","CLE",102,266,8,27,17,2,0.10150376,0.33082707,0.14644352,0.29370629,0.20920502,0.28947368,0.35564854,0.28517731934561763,0.31,81.10352597592868,-3.2269256049767137,-9.259422238847534,2.8598111867904663,0.2699655578581365,"Gabriel Arias",22563,672356
"Christian Bethancourt","TBR",90,292,8,42,27,0,0.04452055,0.26712329,0.14181818,0.28125,0.22545455,0.25773196,0.36727273,0.2685687679195732,0.268,71.65603474120434,-1.9964506793767214,-11.929398069845213,4.639926910400391,0.26994667817384915,"Christian Bethancourt",10028,542194
"Mike Moustakas","- - -",97,332,12,42,44,0,0.06626506,0.24698795,0.16887417,0.30046948,0.25165563,0.30421687,0.4205298,0.3103915366521415,0.279,87.35943133222764,-1.2565557756461203,-6.29259000959168,-2.3739580512046814,0.2631754448314064,"Mike Moustakas",4892,519058
"Brandon Crawford","SFG",78,270,6,27,32,3,0.08148148,0.26666667,0.12396694,0.24550898,0.19421488,0.26394052,0.31818182,0.2558492101840119,0.283,60.51528163038691,0.49592531425878406,-12.64431037318233,6.120874404907227,0.2594825442039874,"Brandon Crawford",5343,543063
"Joey Meneses","WSN",127,550,11,61,76,0,0.06,0.18545455,0.13111546,0.335,0.28375734,0.33090909,0.4148728,0.32436822576956315,0.289,103.11764666583194,-3.352119238115847,-1.238630543518211,-14.801017165184021,0.253739144220813,"Joey Meneses",14366,608841
"Rob Refsnyder","BOS",78,218,1,26,26,7,0.13761468,0.20183486,0.06666667,0.32352941,0.25,0.37037037,0.31666667,0.31731664610129817,0.343,94.4746680633769,-1.0836729533039033,-2.5292776280451346,-2.3918344378471375,0.2535851865183716,"Rob Refsnyder",13770,608701
"René Pinto","TBR",18,43,1,2,4,0,0.04651163,0.30232558,0.09756098,0.37037037,0.26829268,0.30232558,0.36585366,0.29258788879527603,0.327,88.26406220410507,-0.48386456770822406,-1.0895134656720087,2.1159396171569824,0.249526049351998,"Rene Pinto",19859,650907
"Yu Chang","BOS",39,112,6,12,18,4,0.02678571,0.30357143,0.19047619,0.16923077,0.16190476,0.2,0.35238095,0.23635157617655667,0.264,38.49134911492947,1.593263273127377,-6.674516518582568,5.2214741706848145,0.23769629157125496,"Yu Chang",14773,644374
"Wilyer Abreu","BOS",5,19,1,3,5,0,0.10526316,0.21052632,0.29411764,0.41666667,0.35294118,0.42105263,0.64705882,0.44900664844011007,0.422,185.5317549047557,-0.45930291758850217,1.4910610304865761,0.21911552920937538,0.23579160955418477,"Wilyer Abreu",23772,677800
"Grae Kessinger","HOU",19,41,1,2,1,0,0.12195122,0.24390244,0.13888889,0.24,0.19444444,0.29268293,0.33333333,0.280490558321883,0.321,76.10481761887222,-0.3897991203702986,-1.5655867404061201,2.5142669901251793,0.2349227285235632,"Grae Kessinger",25813,666197
"Nick Fortes","MIA",92,276,5,27,22,3,0.05072464,0.18115942,0.08661417,0.24,0.20866142,0.26277372,0.29527559,0.24918010243534172,0.275,52.525157931977404,-1.2998082842677832,-17.45019615234758,10.35525369644165,0.22263815546106552,"Nick Fortes",21538,663743
"Jake Marisnick","- - -",46,83,2,10,10,2,0.03614458,0.25301205,0.17105263,0.2962963,0.23684211,0.2804878,0.40789474,0.2941987463613836,0.281,84.83347118375775,-0.8855328038334846,-2.4303633952608217,1.8046403490006924,0.22095056421757303,"Jake Marisnick",11339,545350
"Daniel Vogelbach","NYM",95,294,13,31,43,0,0.13265306,0.25510204,0.18110236,0.27108434,0.22834646,0.33333333,0.40944882,0.32580713058087607,0.316,108.81476723285412,-2.287051979918033,0.9071952371015204,-8.641975402832031,0.219463673784713,"Daniel Vogelbach",14130,596129
