"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","NYY","129","568","52","105","114","15","13.9%","25.7%",".370",".316",".296",".399",".666",".442","","197","1.0","62.7","0.2","8.5","15640"
"Nolan Arenado","STL","123","522","28","65","89","4","8.2%","12.5%",".260",".303",".305",".368",".565",".397","","160","-1.3","35.8","12.9","7.0","9777"
"Paul Goldschmidt","STL","126","552","34","97","107","6","12.5%","21.0%",".287",".376",".331",".418",".618",".441","","190","2.6","61.0","-13.9","6.9","9218"
"Manny Machado","SDP","123","529","26","85","88","7","9.8%","19.7%",".241",".344",".306",".374",".546",".391","","157","3.0","38.2","5.0","6.4","11493"
"Mookie Betts","LAD","114","522","33","104","73","12","8.8%","16.3%",".287",".278",".281",".351",".567",".391","","155","3.4","37.1","5.6","6.3","13611"
"Freddie Freeman","LAD","132","588","16","96","82","11","10.4%","14.6%",".184",".362",".326",".398",".510",".389","","154","5.6","42.7","-6.5","5.9","5361"
"Francisco Lindor","NYM","133","583","21","81","86","15","9.3%","19.0%",".173",".299",".267",".343",".440",".341","","125","3.7","20.8","12.1","5.5","12916"
"Austin Riley","ATL","132","575","35","79","88","2","7.8%","23.8%",".282",".330",".290",".360",".572",".397","","155","-1.3","35.6","-2.6","5.5","18360"
"Jose Ramirez","CLE","127","547","26","73","106","14","9.3%","10.6%",".257",".270",".280",".349",".537",".373","","146","3.8","32.2","2.4","5.4","13510"
"Dansby Swanson","ATL","134","574","17","86","78","17","7.5%","26.8%",".156",".370",".284",".340",".440",".341","","116","3.4","14.3","17.2","5.3","18314"
"Xander Bogaerts","BOS","127","535","12","76","61","8","9.0%","19.1%",".152",".373",".313",".381",".465",".368","","138","3.9","26.7","7.4","5.3","12161"
