"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Manny Machado","SDP","34","148","7","27","23","6","12.2%","17.6%",".227",".406",".359",".439",".586",".444",".390","190","2.2","17.9","3.7","2.8","11493"
"Taylor Ward","LAA","25","107","8","23","22","1","19.6%","19.6%",".360",".439",".384",".505",".744",".530",".455","264","-0.7","18.1","0.1","2.3","17548"
"Mike Trout","LAA","31","128","9","27","20","0","16.4%","24.2%",".362",".369",".314",".438",".676",".473",".474","223","-1.4","15.5","1.3","2.2","10155"
"Aaron Judge","NYY","32","138","12","28","27","2","10.9%","27.5%",".347",".347",".306",".380",".653",".443",".467","203","0.5","15.7","0.1","2.2","15640"
"Nolan Arenado","STL","32","135","7","14","27","0","8.9%","14.8%",".270",".323",".311",".370",".582",".411",".349","169","0.5","11.3","3.5","2.1","9777"
"Jose Ramirez","CLE","32","141","7","19","32","3","13.5%","7.8%",".275",".272",".292",".390",".567",".415",".397","182","0.2","12.6","1.5","2.0","13510"
"Jeremy Pena","HOU","30","119","6","18","20","1","7.6%","22.7%",".238",".311",".276",".339",".514",".371",".376","153","0.9","7.7","4.1","1.7","21636"
"Jazz Chisholm Jr.","MIA","28","114","6","17","24","6","6.1%","24.6%",".288",".333",".288",".327",".577",".387",".389","153","1.3","8.4","3.2","1.7","20454"
"Bryce Harper","PHI","34","147","9","29","27","6","7.5%","22.4%",".328",".337",".305",".361",".634",".422",".428","171","0.6","12.8","-2.3","1.6","11579"
"Byron Buxton","MIN","22","90","10","19","18","1","6.7%","31.1%",".432",".256",".259",".333",".691",".439",".429","199","0.0","9.6","2.3","1.6","14161"
"Juan Soto","WSN","35","156","8","26","11","3","17.9%","16.0%",".244",".277",".268",".404",".512",".404",".449","158","1.5","12.2","-2.8","1.6","20123"
"Yordan Alvarez","HOU","29","123","11","21","21","0","14.6%","17.9%",".346",".236",".269",".374",".615",".421",".473","189","0.4","12.1","-1.7","1.5","19556"
"Eric Hosmer","SDP","32","131","4","15","24","0","9.9%","14.5%",".169",".411",".364",".427",".534",".418",".356","173","-0.9","10.3","-0.4","1.5","3516"
"Rafael Devers","BOS","33","144","6","22","18","0","4.2%","17.4%",".210",".346",".312",".340",".522",".376",".368","149","0.6","8.2","1.3","1.5","17350"
"Daulton Varsho","ARI","32","126","6","15","15","3","9.5%","25.4%",".227",".297",".255",".333",".482",".357",".360","128","1.3","5.4","4.4","1.5","19918"
"J.P. Crawford","SEA","32","133","4","15","11","1","10.5%","15.8%",".186",".367",".327",".414",".513",".407",".365","181","-0.5","11.1","-1.4","1.5","15491"
"Freddie Freeman","LAD","32","142","3","21","13","2","13.4%","14.1%",".176",".337",".303",".401",".479",".389",".446","153","1.1","10.0","-1.3","1.4","5361"
"Tommy Edman","STL","32","134","4","22","17","8","11.2%","14.2%",".164",".301",".276",".368",".440",".362",".363","137","1.7","7.4","1.4","1.4","19470"
"Ty France","SEA","34","153","5","15","25","0","7.2%","9.8%",".142",".339",".328",".401",".470",".387",".381","167","0.7","11.7","-3.6","1.4","17982"
"Kyle Tucker","HOU","34","139","5","12","19","8","14.4%","20.1%",".186",".291",".254",".360",".441",".355",".413","142","1.1","7.3","1.2","1.4","18345"
"Andres Gimenez","CLE","29","93","4","12","20","2","3.2%","22.6%",".236",".385",".326",".344",".562",".392",".345","165","-0.2","6.3","3.5","1.4","19950"
"Brandon Nimmo","NYM","30","130","3","20","9","0","15.4%","15.4%",".150",".345",".299",".414",".449",".388",".386","156","-0.1","8.5","-0.1","1.4","12927"
"Giancarlo Stanton","NYY","31","131","10","14","31","0","6.1%","29.0%",".267",".347",".300",".336",".567",".387",".438","162","0.1","8.9","-0.5","1.3","4949"
"Jeff McNeil","NYM","33","126","1","15","13","1","8.7%","11.1%",".115",".343",".310",".373",".425",".356",".330","135","1.1","6.2","2.0","1.3","15362"
"C.J. Cron","COL","33","137","9","17","24","0","5.1%","25.5%",".291",".357",".307",".350",".598",".408",".378","150","0.2","8.2","-0.4","1.3","12546"
"Wander Franco","TBR","32","139","4","20","15","3","3.6%","10.1%",".173",".293",".286",".309",".459",".334",".381","129","1.3","5.7","2.0","1.3","23667"
"Tim Anderson","CHW","28","121","4","18","12","5","2.5%","11.6%",".174",".361",".339",".372",".513",".388",".404","164","1.0","9.3","-1.3","1.3","15172"
"Ke'Bryan Hayes","PIT","31","129","0","13","8","3","14.0%","17.8%",".083",".391",".312",".411",".394",".366",".403","136","-0.3","5.1","2.4","1.3","18577"
"Dansby Swanson","ATL","34","127","3","17","14","4","9.4%","35.4%",".158",".343",".228",".299",".386",".306",".335","94","0.5","-0.5","7.8","1.2","18314"
"Alex Bregman","HOU","34","141","5","19","21","0","14.9%","14.2%",".207",".245",".241",".355",".448",".355",".361","142","0.5","6.8","0.2","1.2","17678"
"Santiago Espinal","TOR","34","121","2","12","15","3","9.1%","18.2%",".168",".329",".280",".347",".449",".348",".358","130","0.4","4.3","3.3","1.2","19997"
"Manuel Margot","TBR","27","102","3","10","21","5","8.8%","12.7%",".152",".382",".348",".412",".500",".402",".395","178","0.5","9.0","-0.8","1.2","14712"
"Joey Wendle","MIA","25","87","2","12","10","4","8.0%","11.5%",".152",".328",".304",".368",".456",".367",".335","140","1.6","5.7","2.3","1.2","13853"
"Willy Adames","MIL","34","147","9","22","24","1","11.6%","28.6%",".256",".231",".209",".306",".465",".341",".401","118","-0.5","2.6","3.4","1.2","15986"
"Max Kepler","MIN","33","126","5","12","14","1","11.1%","17.5%",".185",".256",".241",".341",".426",".344",".404","131","-0.1","4.1","2.3","1.1","12144"
"Xander Bogaerts","BOS","32","136","2","19","13","1","6.6%","22.1%",".112",".436",".344",".390",".456",".376",".331","149","0.3","7.5","-1.5","1.1","12161"
"Tyler Stephenson","CIN","23","77","4","13","19","1","7.8%","26.0%",".250",".400",".324",".390",".574",".418",".325","165","-0.3","5.6","1.8","1.1","17988"
"Cedric Mullins II","BAL","34","152","5","19","15","6","5.3%","18.4%",".181",".305",".268",".331",".449",".347",".339","131","1.4","6.5","-1.7","1.0","17929"
"George Springer","TOR","32","131","7","21","18","2","6.9%","21.4%",".243",".301",".278",".338",".522",".373",".351","148","1.1","7.9","-2.5","1.0","12856"
"Luis Robert","CHW","24","104","4","18","11","6","5.8%","13.5%",".153",".313",".296",".337",".449",".349",".431","135","1.8","5.8","0.3","1.0","20043"
"Owen Miller","CLE","26","104","3","21","13","0","10.6%","20.2%",".222",".362",".311",".375",".533",".392",".334","165","-0.5","6.8","-0.8","1.0","24655"
