"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Carlos Rodon","SFG","9","6","0","21","21","123.0","11.56","2.85","0.51",".298","74.1%","37.3%","5.6%","95.7","3.00","2.77","2.29","3.06","4.2","16137"
"Sandy Alcantara","MIA","10","4","0","22","22","158.1","8.01","2.27","0.45",".244","79.8%","55.7%","6.6%","97.8","1.88","2.75","2.86","3.35","4.2","18684"
"Kevin Gausman","TOR","8","8","0","20","20","111.2","10.64","1.61","0.48",".370","72.2%","39.9%","5.6%","95.0","3.06","3.51","2.02","2.74","4.1","14107"
"Max Fried","ATL","10","3","0","21","21","132.1","8.30","1.63","0.41",".300","77.6%","50.0%","5.5%","94.2","2.58","2.83","2.47","3.11","4.1","13743"
"Aaron Nola","PHI","7","8","0","21","21","138.2","9.87","1.17","0.97",".279","73.9%","43.7%","10.5%","92.9","3.25","2.75","2.85","2.98","3.8","16149"
"Justin Verlander","HOU","14","3","0","19","19","124.0","8.85","1.60","0.87",".233","83.0%","37.3%","8.5%","95.1","1.81","2.94","3.04","3.47","3.5","8700"
"Shohei Ohtani","LAA","9","7","0","18","18","105.0","13.03","2.06","1.03",".312","80.5%","39.4%","12.5%","97.4","2.83","2.48","2.42","2.30","3.4","19755"
"Zack Wheeler","PHI","10","5","0","20","20","120.2","9.62","1.86","0.75",".283","77.4%","44.4%","9.3%","96.0","2.69","2.96","2.85","3.09","3.4","10310"
"Dylan Cease","CHW","11","4","0","21","21","116.2","12.42","3.86","0.69",".299","81.5%","42.4%","8.7%","97.0","2.01","2.68","2.70","3.02","3.3","18525"
"Shane McClanahan","TBR","10","4","0","20","20","122.0","11.66","1.70","1.03",".244","83.9%","49.8%","16.3%","97.1","2.07","2.32","2.63","2.19","3.2","21483"
"Spencer Strider","ATL","6","3","0","23","12","87.0","13.76","3.31","0.52",".280","72.8%","38.9%","7.2%","98.1","2.79","2.66","1.98","2.41","3.0","27498"
