"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Tarik Skubal","DET","7","8","0","21","21","117.2","8.95","2.45","0.69",".299","67.5%","45.7%","7.9%","94.2","3.52","3.29","2.96","3.41","3.0","22267"
"Corbin Burnes","MIL","8","5","0","21","21","130.0","11.49","2.49","1.04",".250","82.9%","44.4%","13.3%","96.5","2.49","2.88","3.10","2.89","2.9","19361"
"Shane Bieber","CLE","6","6","0","20","20","124.2","9.10","2.02","0.79",".299","72.5%","44.9%","9.9%","91.3","3.39","3.67","2.96","3.14","2.9","19427"
"Martin Perez","TEX","9","2","0","21","21","131.0","7.97","2.61","0.55",".286","79.4%","52.6%","6.9%","92.9","2.47","3.15","3.10","3.62","2.9","6902"
"Merrill Kelly","ARI","10","5","0","21","21","125.1","7.47","2.73","0.50",".273","75.6%","44.1%","5.2%","92.4","2.87","3.08","3.12","3.98","2.8","11156"
"Framber Valdez","HOU","9","4","0","20","20","128.2","8.18","3.15","0.42",".270","75.5%","66.9%","12.0%","94.0","2.80","3.15","3.16","3.14","2.7","17295"
"Yu Darvish","SDP","10","4","0","20","20","128.1","8.91","1.82","0.91",".260","75.6%","38.4%","8.9%","95.3","3.30","3.67","3.27","3.65","2.7","13074"
"Max Scherzer","NYM","7","2","0","14","14","88.2","11.06","1.73","0.81",".277","84.8%","28.1%","7.5%","94.1","2.13","3.15","2.64","3.25","2.6","3137"
"Joe Musgrove","SDP","8","4","0","18","18","115.1","8.90","2.11","0.86",".254","78.6%","45.8%","10.9%","92.9","2.65","3.36","3.26","3.33","2.6","12970"
"Alek Manoah","TOR","11","5","0","20","20","126.0","8.14","1.86","0.86",".254","81.2%","38.2%","8.4%","94.0","2.43","3.10","3.40","3.85","2.5","26410"
"Logan Webb","SFG","9","5","0","22","22","135.0","7.33","2.27","0.67",".287","74.1%","56.7%","10.5%","92.6","3.20","3.64","3.32","3.40","2.5","17995"
"Gerrit Cole","NYY","9","4","0","22","22","131.1","11.65","2.26","1.44",".277","78.3%","43.9%","16.8%","97.9","3.56","2.99","3.38","2.72","2.4","13125"
"Tyler Anderson","LAD","12","1","0","20","18","115.1","7.34","1.79","0.78",".264","77.5%","38.0%","7.1%","90.8","2.89","3.20","3.37","4.06","2.4","12880"
"Patrick Sandoval","LAA","3","7","0","17","17","89.2","9.74","4.12","0.40",".344","74.4%","44.9%","4.9%","93.2","3.61","4.46","3.01","3.77","2.3","19447"
"Clayton Kershaw","LAD","7","3","0","14","14","81.1","9.30","1.55","0.66",".279","74.7%","49.3%","8.1%","90.9","2.66","2.58","2.60","2.99","2.3","2036"
"Corey Kluber","TBR","7","6","0","20","20","105.0","8.06","1.37","0.94",".306","69.5%","36.3%","8.5%","89.2","4.03","3.99","3.37","3.84","2.3","2429"
"Nestor Cortes","NYY","9","3","0","19","19","106.2","9.37","2.03","1.10",".262","86.2%","32.3%","9.4%","91.6","2.53","2.81","3.35","3.70","2.3","17874"
"Kyle Wright","ATL","13","4","0","20","20","122.2","8.80","2.64","0.81",".287","79.2%","53.0%","11.6%","95.2","2.93","3.91","3.38","3.36","2.3","19665"
"Brandon Woodruff","MIL","9","3","0","15","15","78.2","11.56","2.75","0.80",".309","70.9%","36.6%","8.1%","96.3","3.55","3.03","2.74","3.20","2.3","16162"
"Luis Castillo","- - -","5","4","0","15","15","91.2","9.62","3.04","0.79",".255","76.3%","45.6%","10.5%","96.9","2.95","3.17","3.26","3.36","2.1","15689"
"Tyler Mahle","CIN","5","7","0","19","19","104.1","9.83","3.36","1.04",".289","68.6%","36.5%","9.2%","93.6","4.40","3.20","3.61","3.96","2.1","16358"
"Jose Quintana","PIT","3","5","0","20","20","103.0","7.78","2.71","0.61",".307","73.1%","45.0%","7.0%","91.1","3.50","4.16","3.23","3.79","2.1","11423"
"Julio Urias","LAD","11","6","0","21","21","115.2","8.48","1.87","1.17",".245","80.4%","39.9%","10.6%","93.1","2.57","2.81","3.64","3.77","2.1","14765"
"Edwin Diaz","NYM","2","1","23","42","0","41.2","18.14","2.59","0.65",".383","92.0%","47.6%","16.7%","99.1","1.51","1.54","0.96","0.66","2.1","14710"
"Alex Cobb","SFG","3","6","0","17","17","88.1","9.48","2.65","0.61",".324","60.6%","62.2%","11.8%","95.2","4.08","2.75","2.85","2.82","2.0","6562"
"Taijuan Walker","NYM","9","2","0","18","18","103.1","6.97","2.44","0.61",".275","78.9%","47.7%","7.3%","93.9","2.79","3.97","3.35","3.85","2.0","11836"
"Ryan Helsley","STL","5","1","9","34","0","42.1","13.61","2.55","0.21",".176","85.4%","37.8%","2.8%","99.2","0.64","1.78","1.25","2.21","2.0","18138"
"Frankie Montas","OAK","4","9","0","19","19","104.2","9.37","2.41","1.03",".289","73.6%","46.1%","12.6%","96.4","3.18","3.70","3.36","3.21","2.0","14309"
"Miles Mikolas","STL","8","8","0","21","21","132.1","6.80","1.77","0.95",".241","77.3%","44.5%","10.1%","93.5","2.86","3.62","3.68","3.86","2.0","9803"
"Carlos Carrasco","NYM","11","4","0","20","20","111.2","8.70","2.42","0.89",".337","76.9%","47.2%","10.7%","93.5","3.79","3.94","3.43","3.52","2.0","6632"
"Ross Stripling","TOR","5","3","1","23","15","82.2","7.29","1.63","0.65",".286","70.6%","46.6%","6.6%","91.9","3.16","3.72","3.02","3.71","1.9","13273"
"Jordan Lyles","BAL","8","8","0","22","22","124.2","7.51","2.96","1.16",".318","73.0%","38.9%","10.2%","92.0","4.40","5.00","4.25","4.45","1.9","7593"
"Pablo Lopez","MIA","7","6","0","21","21","118.2","9.03","2.65","0.99",".276","75.5%","47.0%","12.6%","92.9","3.41","3.64","3.60","3.46","1.9","17085"
"Logan Gilbert","SEA","10","4","0","22","22","128.1","8.42","2.52","1.12",".283","80.7%","36.6%","11.3%","96.0","3.09","4.25","3.78","3.80","1.8","22250"
"Cristian Javier","HOU","6","7","0","20","16","94.1","12.21","3.43","1.14",".255","80.5%","25.1%","10.1%","93.9","3.24","2.75","3.39","3.61","1.8","17606"
"Jon Gray","TEX","7","6","0","19","19","103.1","10.10","2.96","1.05",".286","71.2%","43.4%","12.6%","96.0","3.83","3.51","3.48","3.34","1.8","14916"
"Zac Gallen","ARI","6","2","0","20","20","111.1","8.57","2.59","0.89",".249","73.7%","47.0%","10.2%","93.9","3.31","3.70","3.68","3.84","1.7","19291"
"Chris Bassitt","NYM","8","7","0","20","20","122.0","8.93","2.43","1.11",".276","76.4%","48.5%","13.0%","93.3","3.61","3.22","3.72","3.52","1.7","12304"
"Adam Wainwright","STL","8","8","0","21","21","130.1","7.11","2.35","0.90",".287","80.4%","45.5%","10.3%","88.4","3.11","4.40","3.73","3.87","1.7","2233"
"Michael King","NYY","6","3","1","34","0","51.0","11.65","2.82","0.53",".281","76.9%","47.0%","9.1%","96.5","2.29","2.79","2.23","2.43","1.7","19853"
"Tony Gonsolin","LAD","12","1","0","19","19","104.2","8.25","2.41","0.95",".208","83.5%","43.4%","9.9%","93.2","2.41","3.03","3.57","3.78","1.7","19388"
"Justin Steele","CHC","4","7","0","19","19","91.0","8.60","4.15","0.59",".311","67.4%","52.0%","8.2%","92.4","3.86","3.72","3.55","3.88","1.7","17312"
"Jameson Taillon","NYY","10","2","0","21","21","113.2","7.76","1.66","1.27",".285","74.8%","39.9%","11.9%","94.1","3.96","4.02","3.88","3.82","1.6","11674"
"Alex Wood","SFG","7","9","0","21","21","106.0","8.92","2.21","1.02",".316","67.7%","50.6%","13.5%","","4.42","3.70","3.51","3.29","1.6","13781"
"Kyle Freeland","COL","6","7","0","20","20","114.2","6.44","2.59","1.02",".302","68.6%","42.0%","10.3%","90.6","4.63","4.80","4.29","4.45","1.6","16256"
"Devin Williams","MIL","2","1","6","44","0","39.2","14.97","4.31","0.23",".292","83.7%","47.9%","5.6%","94.4","1.82","1.99","1.63","1.98","1.6","15816"
"Brady Singer","KCR","4","4","0","17","14","90.2","9.33","2.18","1.19",".312","76.9%","46.9%","15.0%","92.5","3.67","3.57","3.66","3.25","1.6","25377"
"Sonny Gray","MIN","6","3","0","15","15","74.0","8.39","2.31","0.85",".275","74.8%","43.3%","9.1%","92.2","3.41","3.46","3.41","3.73","1.5","12768"
"JT Brubaker","PIT","2","9","0","20","20","104.1","9.06","3.62","0.95",".333","69.4%","43.2%","10.1%","93.1","4.40","4.28","3.85","4.04","1.5","17578"
"Nick Pivetta","BOS","8","8","0","21","21","118.2","8.65","3.34","1.21",".298","73.6%","35.1%","10.9%","93.4","4.47","4.49","4.16","4.25","1.5","15454"
"Ranger Suarez","PHI","7","5","0","18","18","95.0","7.58","3.32","0.85",".301","72.4%","55.8%","12.0%","93.5","3.60","3.80","3.83","3.77","1.5","17277"
"Charlie Morton","ATL","5","5","0","21","21","116.2","10.34","3.32","1.16",".290","74.6%","38.5%","13.4%","95.0","4.09","4.05","3.96","3.71","1.5","4676"
"Reynaldo Lopez","CHW","4","2","0","37","1","42.1","9.35","1.70","0.00",".319","63.0%","45.5%","0.0%","96.9","2.98","2.96","1.68","2.98","1.5","16400"
"Cole Irvin","OAK","6","8","0","19","19","115.1","6.09","1.79","1.01",".250","76.6%","38.5%","8.8%","90.8","3.04","4.34","3.88","4.32","1.4","19244"
"Tyler Wells","BAL","7","6","0","20","20","94.2","6.46","2.19","1.33",".246","75.5%","35.2%","10.3%","93.8","3.90","3.78","4.40","4.61","1.4","20000"
"Triston McKenzie","CLE","7","8","0","20","19","120.0","8.48","2.40","1.35",".232","79.2%","31.7%","11.4%","92.6","3.38","3.94","4.11","4.12","1.4","18000"
"Blake Snell","SDP","4","5","0","13","13","67.0","11.69","4.57","0.81",".306","69.9%","39.4%","8.7%","95.6","4.16","3.46","3.25","3.62","1.4","13543"
"Freddy Peralta","MIL","3","2","0","9","9","42.1","11.27","3.19","0.21",".327","63.4%","45.0%","2.9%","93.2","4.46","3.15","2.20","3.12","1.4","18679"
"A.J. Minter","ATL","4","3","5","47","0","43.1","11.63","1.45","0.42",".330","71.8%","40.8%","4.7%","96.5","2.70","2.38","1.82","2.70","1.4","18655"
"Emmanuel Clase","CLE","2","2","23","46","0","44.1","9.34","1.22","0.41",".202","77.2%","62.4%","9.1%","","1.22","1.87","2.03","2.19","1.4","21032"
"Jordan Montgomery","NYY","3","3","0","21","21","114.2","7.61","1.81","1.18",".269","75.9%","46.4%","13.8%","92.6","3.69","4.11","3.91","3.62","1.4","16511"
"Paul Blackburn","OAK","6","6","0","20","20","106.1","7.28","2.45","0.93",".296","72.6%","48.1%","11.2%","91.6","4.15","3.75","3.80","3.83","1.4","14739"
"Drew Rasmussen","TBR","6","4","0","18","18","88.1","7.44","2.55","0.82",".288","75.9%","46.6%","9.9%","95.7","3.06","4.16","3.59","3.78","1.4","25385"
"Anthony Bass","MIA","2","3","0","45","0","44.2","9.07","2.01","0.20",".265","78.8%","39.0%","2.1%","95.2","1.41","2.77","2.06","3.34","1.4","7982"
"Braxton Garrett","MIA","2","5","0","11","11","58.0","10.24","2.17","0.78",".316","70.1%","46.2%","10.2%","91.4","3.88","3.39","3.05","3.18","1.3","21844"
"Garrett Whitlock","BOS","2","1","3","19","9","58.2","9.20","1.84","0.92",".277","74.6%","42.2%","9.7%","95.5","3.07","3.24","3.07","3.31","1.3","20191"
"Jason Adam","TBR","1","2","5","46","0","42.2","10.76","1.69","0.42",".191","85.6%","42.2%","5.3%","95.1","1.27","1.74","2.25","2.96","1.3","11861"
"Jose Urquidy","HOU","10","4","0","20","20","114.1","7.08","1.89","1.34",".268","78.2%","35.6%","10.6%","93.6","3.62","4.71","4.18","4.34","1.3","18413"
"Mitch Keller","PIT","3","7","0","20","18","101.0","7.75","3.30","0.89",".324","72.6%","49.8%","11.0%","95.9","4.37","4.25","3.96","4.01","1.3","17594"
"Taylor Rogers","- - -","1","5","28","43","0","42.1","10.42","1.91","0.21",".327","61.6%","44.1%","2.6%","94.3","4.25","3.91","2.38","3.41","1.3","13449"
"David Bednar","PIT","3","4","17","40","0","46.2","12.15","2.70","0.77",".302","72.7%","33.0%","8.7%","96.7","2.70","3.03","2.50","2.85","1.3","19569"
"Evan Phillips","LAD","5","3","1","42","0","42.0","10.71","2.36","0.43",".226","78.3%","44.1%","5.7%","95.9","1.50","2.21","2.28","2.90","1.2","17734"
"Scott Effross","- - -","1","4","1","48","1","44.2","10.07","2.22","0.40",".297","64.2%","45.3%","4.8%","91.4","2.62","2.21","2.20","3.01","1.2","18384"
"Luis Garcia","HOU","8","7","0","19","19","106.1","9.48","2.71","1.52",".238","72.4%","37.5%","14.2%","94.1","3.81","3.29","4.14","3.72","1.2","23735"
"Jake Odorizzi","HOU","4","3","0","12","12","60.0","6.90","2.55","0.75",".269","65.6%","31.3%","6.0%","92.4","3.75","3.72","3.62","4.62","1.2","6397"
"Brock Burke","TEX","5","2","0","34","0","53.2","9.73","2.18","0.50",".269","90.2%","35.8%","4.8%","95.0","1.17","3.15","2.46","3.46","1.2","17968"
"Seranthony Dominguez","PHI","5","3","6","40","0","38.1","10.80","2.82","0.47",".233","87.0%","46.6%","6.5%","97.6","1.64","2.54","2.41","2.94","1.2","19249"
"Keegan Thompson","CHC","8","5","0","22","14","93.0","8.03","3.00","0.97",".297","75.0%","40.1%","9.3%","93.9","3.48","4.25","3.99","4.30","1.2","19795"
"Rafael Montero","HOU","4","1","7","45","0","44.0","9.61","3.07","0.20",".243","79.3%","53.8%","2.9%","96.5","1.64","2.70","2.37","3.25","1.2","12760"
"Jorge Lopez","- - -","4","6","20","45","0","49.1","10.03","3.10","0.55",".225","76.9%","60.7%","10.0%","97.4","1.64","2.96","2.95","3.07","1.2","14527"
"Joe Ryan","MIN","8","4","0","17","17","90.2","8.83","2.48","1.39",".249","78.5%","29.0%","10.1%","91.8","3.67","3.54","4.22","4.48","1.2","21390"
"Trevor Stephan","CLE","4","3","2","41","0","41.1","10.89","1.96","0.44",".349","76.3%","43.1%","5.0%","96.9","2.40","2.23","2.05","2.86","1.2","19932"
"Noah Syndergaard","LAA","5","8","0","15","15","80.0","7.20","2.48","1.01",".276","73.5%","44.9%","9.4%","94.5","3.83","4.22","3.95","4.28","1.2","11762"
"Graham Ashcraft","CIN","5","2","0","13","13","74.1","5.93","2.06","0.85",".304","71.9%","53.4%","10.8%","97.3","4.12","3.72","3.87","3.95","1.1","27552"
"Robbie Ray","SEA","8","8","0","21","21","122.2","10.20","3.08","1.54",".282","77.5%","40.6%","16.3%","93.6","4.11","3.59","4.23","3.56","1.1","11486"
"John Schreiber","BOS","3","1","3","39","0","40.2","10.18","1.99","0.44",".220","83.3%","59.8%","7.7%","94.6","1.55","2.05","2.38","2.69","1.1","20020"
"Antonio Senzatela","COL","3","6","0","16","16","77.2","5.56","2.32","0.93",".387","72.1%","47.1%","11.1%","94.3","4.87","5.52","4.11","4.15","1.1","15488"
"Marcus Stroman","CHC","3","5","0","13","13","67.2","8.25","2.39","1.06",".283","68.3%","44.9%","13.6%","92.9","3.99","4.19","3.62","3.38","1.1","13431"
"Jeffrey Springs","TBR","3","3","0","21","13","73.1","9.45","1.96","1.35",".286","88.6%","40.0%","13.3%","91.8","2.70","3.72","3.62","3.35","1.1","17677"
"Clay Holmes","NYY","5","2","17","45","0","45.2","9.46","2.56","0.20",".243","81.5%","82.6%","10.0%","97.8","1.77","1.91","2.55","2.59","1.1","13649"
"Zach Eflin","PHI","3","5","0","13","13","68.0","7.41","1.99","1.06",".287","66.4%","43.5%","10.3%","93.3","4.37","3.46","3.84","4.01","1.1","13774"
"Kyle Gibson","PHI","6","4","0","20","20","107.2","7.02","2.59","1.25",".274","70.3%","45.8%","13.0%","92.1","4.60","4.28","4.43","4.20","1.1","10123"
"Mike Clevinger","SDP","3","3","0","12","11","60.1","8.80","2.39","1.04",".258","79.0%","38.7%","10.3%","93.8","3.13","3.49","3.61","3.78","1.1","12808"
"Kenley Jansen","ATL","5","0","24","39","0","39.1","12.36","2.52","0.92",".276","68.9%","31.1%","8.5%","","3.43","2.08","2.53","2.99","1.1","3096"
"Zach Jackson","OAK","2","3","3","46","0","41.1","12.41","6.10","0.00",".271","71.2%","28.0%","0.0%","94.8","2.83","3.67","2.46","4.05","1.0","19493"
"Brooks Raley","TBR","1","1","6","38","0","33.1","11.88","2.70","0.00",".288","69.2%","35.4%","0.0%","90.5","2.70","2.56","1.92","3.17","1.0","10061"
"George Kirby","SEA","2","3","0","14","14","73.1","8.96","1.35","1.47",".305","77.9%","45.7%","14.5%","95.6","3.56","3.59","3.83","3.38","1.0","25436"
"Daniel Lynch","KCR","4","7","0","16","16","76.2","9.39","3.87","1.06",".342","73.1%","39.7%","9.6%","94.2","4.70","4.22","3.96","4.26","1.0","21537"
"Brad Keller","KCR","5","12","0","20","20","113.1","6.04","3.26","0.95",".289","66.6%","51.2%","11.0%","94.4","4.61","3.99","4.29","4.34","1.0","15734"
"John Brebbia","SFG","5","1","0","50","3","47.0","7.47","2.68","0.19",".285","76.0%","35.8%","1.6%","94.3","2.30","3.24","2.63","4.28","1.0","12777"
"Craig Kimbrel","LAD","3","4","19","39","0","37.0","12.89","3.89","0.24",".402","67.1%","35.4%","2.2%","96.0","4.14","3.06","2.06","3.56","1.0","6655"
"Michael Wacha","BOS","6","1","0","13","13","70.1","6.40","2.82","0.90",".240","80.9%","41.2%","9.1%","93.5","2.69","4.74","3.97","4.30","1.0","14078"
"Bryan Baker","BAL","3","3","0","42","2","43.2","9.69","3.92","0.21",".344","67.6%","42.6%","2.5%","95.9","4.12","4.37","2.77","3.84","1.0","19804"
"Joe Jimenez","DET","3","0","1","44","0","41.0","12.51","1.76","0.66",".302","69.8%","32.0%","6.7%","95.8","2.85","2.66","1.87","2.55","1.0","15761"
"Felix Bautista","BAL","3","3","3","47","0","44.2","12.09","2.82","1.21",".216","91.5%","41.9%","15.8%","98.8","1.81","2.75","3.12","2.64","1.0","20666"
"Hector Neris","HOU","4","3","1","46","0","43.0","9.84","2.30","0.42",".252","65.5%","32.1%","3.8%","94.4","3.56","3.41","2.58","3.81","1.0","11804"
"J.P. Feyereisen","TBR","4","0","1","22","2","24.1","9.25","1.85","0.00",".125","91.7%","33.9%","0.0%","92.7","0.00","2.40","1.68","3.57","1.0","16610"
"Luis Garcia","SDP","4","5","2","41","0","39.2","9.53","2.72","0.45",".321","68.5%","56.9%","8.3%","98.2","3.18","3.13","2.71","2.96","1.0","6984"
"Aaron Ashby","MIL","2","9","1","20","14","80.2","10.93","4.02","1.12",".335","69.8%","55.5%","17.5%","96.0","4.13","3.54","3.75","3.19","0.9","23550"
"Chris Paddack","MIN","1","2","0","5","5","22.1","8.06","0.81","0.00",".357","64.3%","44.1%","0.0%","93.5","4.03","3.06","1.73","3.19","0.9","20099"
"Andrew Chafin","DET","0","1","1","39","0","34.0","10.85","2.65","0.26",".291","68.3%","48.8%","3.3%","91.4","2.38","2.25","2.15","3.08","0.9","12988"
"Sean Manaea","SDP","6","5","0","19","19","110.0","9.08","3.44","1.47",".274","70.6%","39.3%","14.5%","","4.25","3.97","4.37","3.92","0.9","15873"
"Nabil Crismatt","SDP","5","2","0","38","1","49.0","8.63","2.76","0.37",".280","76.6%","51.9%","5.7%","90.7","2.76","3.24","2.71","3.24","0.9","17732"
"Walker Buehler","LAD","6","3","0","12","12","65.0","8.03","2.35","1.11",".312","74.9%","48.0%","12.7%","95.4","4.02","4.22","3.81","3.65","0.9","19374"
"Dylan Bundy","MIN","6","5","0","18","18","89.1","6.85","1.91","1.41",".296","66.4%","37.7%","11.2%","89.4","5.04","3.70","4.30","4.35","0.9","12917"
"Bailey Ober","MIN","1","2","0","7","7","33.2","7.75","1.87","0.53",".327","64.7%","24.8%","3.8%","91.9","4.01","4.87","2.79","4.31","0.9","21224"
"Tyler Kinley","COL","1","1","0","25","0","24.0","10.13","2.25","0.00",".318","82.1%","39.4%","0.0%","95.7","0.75","2.54","1.74","3.17","0.9","18297"
"Erik Swanson","SEA","2","0","2","33","1","31.2","11.37","1.99","0.57",".274","95.4%","29.7%","5.9%","94.1","1.14","2.77","2.07","2.85","0.9","16587"
"Ryan Pressly","HOU","3","3","21","33","0","32.0","10.69","2.53","0.56",".274","67.4%","41.1%","8.7%","94.3","3.09","2.96","2.40","2.65","0.9","7005"
"Ian Anderson","ATL","9","6","0","20","20","101.0","8.02","4.37","0.98",".313","69.8%","47.4%","12.1%","93.9","4.99","4.28","4.24","4.16","0.9","19951"
"Liam Hendriks","CHW","2","3","21","36","0","36.2","13.25","2.21","1.23",".309","75.8%","31.8%","13.2%","97.8","3.19","2.92","2.76","2.53","0.9","3548"
"Wil Crowe","PIT","4","6","3","44","1","58.1","8.79","3.70","0.46",".269","72.3%","49.0%","5.9%","95.2","3.09","3.34","3.22","3.85","0.9","19800"
"Luis Severino","NYY","5","3","0","16","16","86.0","9.94","2.62","1.47",".251","81.2%","43.0%","15.6%","96.1","3.45","3.03","4.04","3.48","0.9","15890"
"Reid Detmers","LAA","3","3","0","16","16","82.0","8.23","3.29","1.21",".218","75.4%","37.5%","12.1%","93.3","3.62","3.99","4.31","4.22","0.9","27468"
"German Marquez","COL","6","9","0","20","20","115.2","7.39","3.11","1.48",".305","65.5%","48.8%","17.6%","95.6","5.29","4.74","4.70","3.95","0.9","15038"
"Kutter Crawford","BOS","3","3","0","16","7","53.2","9.39","2.85","1.01",".299","73.4%","33.6%","9.1%","95.0","3.86","3.91","3.49","3.86","0.9","20531"
"Rich Hill","BOS","4","5","0","16","16","73.2","7.21","2.81","1.10",".297","67.5%","39.4%","10.3%","88.5","4.52","4.55","4.16","4.33","0.9","4806"
"Spenser Watkins","BAL","4","1","0","14","14","64.0","5.63","2.81","0.98",".291","73.6%","39.4%","8.2%","91.6","3.80","5.13","4.37","4.92","0.9","17489"
"Joe Mantiply","ARI","1","3","2","44","0","40.2","8.85","0.66","0.66",".304","85.1%","55.4%","11.5%","90.8","2.21","2.48","2.55","2.54","0.8","14857"
"Collin McHugh","ATL","2","2","0","36","0","45.0","9.40","1.80","0.80",".276","75.5%","38.3%","8.2%","91.1","3.20","2.88","2.98","3.45","0.8","7531"
"Austin Gomber","COL","5","7","0","21","16","97.1","6.93","2.68","1.39",".315","63.6%","43.1%","13.8%","91.1","5.64","4.71","4.53","4.20","0.8","16561"
"Zach Plesac","CLE","2","9","0","19","19","104.0","6.84","2.42","1.21",".288","67.8%","41.0%","11.1%","92.2","4.33","5.52","4.30","4.35","0.8","19979"
"Johnny Cueto","CHW","4","4","0","14","13","88.0","6.14","2.25","1.13",".270","83.7%","45.7%","10.6%","91.7","2.86","3.99","4.20","4.33","0.8","6893"
"Lucas Giolito","CHW","7","6","0","19","19","101.1","10.21","3.46","1.60",".351","71.8%","35.6%","15.4%","93.0","5.06","4.40","4.34","3.75","0.8","15474"
"Adrian Sampson","CHC","0","2","0","9","7","43.1","6.65","2.08","0.62",".289","65.6%","39.1%","5.4%","92.9","3.74","3.91","3.30","4.32","0.8","13339"
"Michael Kopech","CHW","4","7","0","19","19","95.1","7.65","4.34","1.13",".223","80.6%","34.4%","9.4%","95.2","3.12","3.97","4.56","4.92","0.8","17282"
"Michael Fulmer","- - -","3","4","2","42","0","40.1","8.93","4.46","0.22",".269","69.8%","33.9%","2.2%","94.4","3.12","3.03","3.17","4.50","0.8","13218"
"Andrew Heaney","LAD","1","0","0","5","5","23.1","13.11","3.47","0.39",".260","89.4%","34.0%","5.0%","92.2","0.77","2.72","2.30","3.02","0.8","15423"
"Andres Munoz","SEA","1","4","2","41","0","41.2","13.39","2.38","1.08",".321","76.3%","48.8%","17.2%","100.2","3.02","2.14","2.71","2.18","0.8","20373"
"Daniel Hudson","LAD","2","3","5","25","0","24.1","11.10","1.85","0.37",".271","75.2%","53.4%","6.7%","97.1","2.22","2.70","2.05","2.43","0.8","7146"
"Dane Dunning","TEX","1","6","0","20","20","106.2","7.85","3.63","1.01",".315","74.4%","52.5%","13.3%","89.0","4.30","4.46","4.30","4.09","0.8","19409"
"Adrian Houser","MIL","4","8","0","15","15","76.1","6.72","3.66","0.94",".308","62.9%","47.3%","11.1%","94.8","4.72","4.68","4.20","4.24","0.8","12718"
"Jhoan Duran","MIN","1","3","6","38","0","47.0","11.30","2.11","0.96",".276","88.1%","58.7%","18.5%","100.7","2.11","2.38","2.95","2.42","0.8","21029"
"Dean Kremer","BAL","3","3","0","10","10","51.1","7.19","2.45","1.05",".335","78.4%","30.8%","8.2%","93.4","3.86","5.41","4.09","4.69","0.8","19350"
"Eli Morgan","CLE","4","2","0","33","1","46.0","10.76","1.17","1.37",".226","54.8%","30.4%","11.9%","92.1","3.72","2.58","3.23","3.15","0.8","20203"
"Dillon Tate","BAL","2","3","2","46","0","50.2","7.64","1.78","0.53",".264","77.2%","56.6%","9.4%","","2.31","3.29","3.14","3.31","0.8","17796"
"Matt Strahm","BOS","3","3","3","33","0","27.2","10.41","2.28","0.65",".329","62.1%","31.6%","5.4%","94.5","3.58","2.66","2.61","3.66","0.8","13799"
"Patrick Corbin","WSN","4","15","0","22","22","109.2","8.37","3.12","1.56",".381","62.4%","44.9%","15.8%","92.0","6.57","5.74","4.66","4.03","0.8","9323"
"MacKenzie Gore","SDP","4","4","0","16","13","70.0","9.26","4.76","0.90",".312","74.1%","37.6%","9.2%","94.8","4.50","5.13","4.12","4.43","0.8","22201"
"Zack Greinke","KCR","3","6","0","17","17","87.2","5.13","1.85","1.23",".289","70.9%","40.4%","10.9%","89.3","4.41","5.48","4.47","4.56","0.8","1943"
