"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"C.J. Cron","COL","24","100","9","14","22","0","6.0%","22.0%",".380",".306",".304",".350",".685",".439","","171","-0.1","8.2","-0.4","1.2","12546"
"Ty France","SEA","25","113","5","12","21","0","7.1%","11.5%",".182",".341",".333",".402",".515",".402","","178","0.4","9.9","-2.7","1.2","17982"
"Daulton Varsho","ARI","26","101","5","13","12","2","11.9%","26.7%",".221",".286",".244",".337",".465",".352","","125","0.7","3.6","3.8","1.1","19918"
"Xander Bogaerts","BOS","24","100","2","16","10","1","7.0%","20.0%",".152",".443",".359",".410",".511",".407","","172","0.3","8.0","-1.1","1.1","12161"
"Yordan Alvarez","HOU","20","83","8","15","15","0","14.5%","15.7%",".366",".220",".268",".373",".634",".430","","196","0.1","8.7","-1.2","1.1","19556"
"Jeremy Pena","HOU","23","94","5","14","14","1","7.4%","23.4%",".241",".246",".229",".301",".470",".338","","129","1.0","4.0","3.1","1.1","21636"
"Freddie Freeman","LAD","23","101","3","15","12","2","11.9%","14.9%",".184",".329",".299",".386",".483",".383","","150","1.5","7.4","-1.0","1.0","5361"
"Myles Straw","CLE","24","108","0","18","3","6","13.9%","17.6%",".076",".338",".272",".370",".348",".328","","120","2.1","4.4","1.4","1.0","17620"
"Owen Miller","CLE","19","73","2","16","8","0","13.7%","20.5%",".246",".413",".344",".425",".590",".434","","196","0.1","7.7","-1.0","1.0","24655"
"Dansby Swanson","ATL","27","101","1","11","9","2","9.9%","35.6%",".133",".370",".233",".307",".367",".301","","91","0.7","-0.3","6.0","1.0","18314"
"Willy Adames","MIL","25","109","6","18","17","1","12.8%","27.5%",".245",".259",".223",".330",".468",".354","","127","-0.6","2.8","2.6","1.0","15986"
"Austin Riley","ATL","26","114","7","14","14","1","9.6%","24.6%",".280",".308",".270",".360",".550",".398","","155","0.0","7.2","-2.0","1.0","18360"
"Brandon Nimmo","NYM","22","94","3","13","7","0","16.0%","16.0%",".179",".283",".256",".376",".436",".365","","141","0.0","4.5","1.3","1.0","12927"
"George Springer","TOR","25","105","6","17","12","2","5.7%","21.0%",".245",".299",".277",".337",".521",".375","","149","1.6","7.1","-1.8","0.9","12856"
"Jonah Heim","TEX","12","42","3","10","10","0","19.0%","9.5%",".324",".333",".353",".476",".676",".494","","240","-0.3","6.0","1.2","0.9","16930"
"Yandy Diaz","TBR","21","87","2","11","6","0","17.2%","6.9%",".129",".306",".300",".437",".429",".394","","173","-1.2","5.6","0.1","0.9","16578"
"Ha-seong Kim","SDP","19","68","3","14","11","1","13.2%","19.1%",".259",".286",".259",".368",".517",".388","","154","0.5","4.8","1.5","0.9","27506"
"Joey Wendle","MIA","18","66","1","9","8","4","7.6%","10.6%",".150",".327",".300",".364",".450",".362","","137","1.5","4.4","1.8","0.9","13853"
"Francisco Lindor","NYM","27","119","4","15","15","3","10.1%","17.6%",".165",".266",".243",".336",".408",".334","","121","0.0","3.0","1.4","0.9","12916"
"Alex Bregman","HOU","25","101","4","14","16","0","13.9%","13.9%",".200",".246",".247",".347",".447",".350","","139","0.5","4.7","0.3","0.9","17678"
"Mookie Betts","LAD","22","100","4","23","8","3","13.0%","16.0%",".165",".258",".247",".350",".412",".342","","123","0.9","3.6","1.2","0.9","13611"
"Juan Soto","WSN","26","115","5","19","6","2","18.3%","16.5%",".204",".275",".258",".400",".462",".384","","146","1.0","7.2","-2.9","0.9","20123"
"Max Kepler","MIN","24","89","5","9","12","1","13.5%","16.9%",".240",".236",".240",".360",".480",".373","","152","-0.8","4.2","0.9","0.9","12144"
"Jon Berti","MIA","15","45","2","10","4","2","20.0%","24.4%",".286",".409",".314",".467",".600",".462","","203","0.4","5.8","0.5","0.8","12037"
"Eduardo Escobar","NYM","25","107","1","12","7","0","15.0%","22.4%",".154",".333",".253",".364",".407",".347","","130","1.4","5.2","-0.9","0.8","6153"
"Ke'Bryan Hayes","PIT","23","94","0","11","6","2","13.8%","18.1%",".076",".381",".304",".404",".380",".357","","131","-0.6","2.8","1.8","0.8","18577"
"Matt Olson","ATL","27","119","3","13","11","0","16.0%","20.2%",".202",".342",".283",".395",".485",".386","","147","-2.4","4.1","-0.4","0.8","14344"
"Rafael Devers","BOS","25","108","4","15","10","0","2.8%","15.7%",".181",".310",".286",".306",".467",".336","","121","0.7","3.1","1.1","0.8","17350"
"Sheldon Neuse","OAK","23","88","2","9","14","3","6.8%","28.4%",".125",".434",".313",".375",".438",".363","","149","0.9","5.6","-0.9","0.8","19635"
"Tim Anderson","CHW","21","86","4","14","9","3","1.2%","11.6%",".205",".319",".313",".337",".518",".376","","155","0.5","5.5","-0.8","0.8","15172"
"Andres Gimenez","CLE","21","62","2","8","13","1","1.6%","22.6%",".200",".400",".333",".339",".533",".376","","154","-0.4","3.3","2.3","0.8","19950"
"Trevor Larnach","MIN","20","66","0","10","7","0","7.6%","31.8%",".133",".450",".300",".348",".433",".344","","131","0.7","2.9","2.5","0.8","21501"
"Travis d'Arnaud","ATL","18","73","2","11","12","0","1.4%","21.9%",".157",".365",".300",".329",".457",".347","","121","-0.7","1.2","3.9","0.8","7739"
"Anthony Rizzo","NYY","25","107","9","15","21","2","10.3%","15.0%",".341",".197",".242",".355",".582",".402","","174","-1.3","7.2","-3.4","0.8","3473"
"J.T. Realmuto","PHI","23","94","2","17","4","3","10.6%","24.5%",".119",".339",".262",".340",".381",".326","","108","1.2","2.1","2.0","0.8","11739"
"Josh Bell","WSN","25","103","3","16","18","0","13.6%","11.7%",".174",".380",".349",".446",".523",".426","","174","-3.3","5.6","-1.8","0.8","13145"
"Nico Hoerner","CHC","23","79","2","5","11","2","2.5%","13.9%",".145",".302",".276",".304",".421",".320","","105","0.3","0.8","3.7","0.8","21479"
"Ji-Man Choi","TBR","15","53","2","7","10","0","20.8%","32.1%",".238",".565",".357",".491",".595",".469","","226","-0.3","6.9","-1.6","0.7","5452"
"Ian Happ","CHC","23","89","2","12","11","0","16.9%","21.3%",".125",".365",".292",".416",".417",".373","","140","-0.3","3.9","0.2","0.7","17919"
"Santiago Espinal","TOR","26","90","2","7","11","3","7.8%","20.0%",".160",".290",".247",".311",".407",".314","","107","0.9","1.5","2.5","0.7","19997"
"Corey Seager","TEX","23","102","4","10","12","0","7.8%","16.7%",".140",".274",".258",".314",".398",".313","","111","0.4","1.6","2.0","0.7","13624"
"Sean Murphy","OAK","24","100","4","12","15","0","5.0%","30.0%",".228",".254",".207",".260",".435",".303","","107","-0.2","0.5","3.1","0.7","19352"
"Matt Chapman","TOR","26","100","5","8","14","0","9.0%","27.0%",".209",".254",".220",".290",".429",".319","","110","0.8","1.8","1.7","0.7","16505"
"Andrew Benintendi","KCR","23","91","1","8","11","0","7.7%","11.0%",".085",".389",".354",".407",".439",".377","","153","-0.8","4.3","-0.6","0.7","17901"
"Jurickson Profar","SDP","24","98","5","13","16","1","15.3%","18.4%",".247",".153",".173",".306",".420",".324","","112","0.0","1.4","1.9","0.7","10815"
"Kyle Tucker","HOU","25","99","4","8","15","4","9.1%","20.2%",".180",".273",".247",".313",".427",".324","","120","0.5","2.6","0.6","0.7","18345"
"Rowdy Tellez","MIL","24","83","7","15","21","0","8.4%","21.7%",".347",".260",".267",".337",".613",".407","","162","-0.8","5.2","-1.6","0.7","15679"
"DJ LeMahieu","NYY","23","94","2","13","8","1","7.4%","13.8%",".129",".314",".282",".351",".412",".343","","131","-0.4","2.7","0.5","0.7","9874"
"Brandon Crawford","SFG","23","94","2","12","10","1","9.6%","19.1%",".122",".258",".220",".319",".341",".300","","96","0.8","0.4","2.8","0.7","5343"
"Luis Robert","CHW","16","66","3","10","6","5","3.0%","13.6%",".188",".269",".266",".288",".453",".325","","119","1.8","3.1","0.9","0.7","20043"
"Vladimir Guerrero Jr.","TOR","25","103","6","12","17","0","9.7%","20.4%",".242",".303",".286",".350",".527",".374","","149","-1.4","4.0","-1.3","0.6","19611"
"Brian Anderson","MIA","20","75","1","13","2","1","14.7%","29.3%",".129",".385",".258",".387",".387",".354","","133","1.2","4.0","-0.5","0.6","18289"
"Tommy Pham","CIN","22","89","4","13","7","1","13.5%","24.7%",".221",".294",".247",".348",".468",".362","","128","1.0","4.0","-1.1","0.6","2967"
"Anthony Rendon","LAA","22","95","3","9","11","2","14.7%","17.9%",".179",".250",".231",".347",".410",".339","","127","-0.2","2.6","0.1","0.6","12861"
"Gavin Lux","LAD","19","67","1","12","6","2","11.9%","17.9%",".103",".326",".276",".358",".379",".332","","116","1.2","2.5","0.9","0.6","19955"
"Eugenio Suarez","SEA","24","101","4","12","13","0","11.9%","29.7%",".225",".255",".202",".297",".427",".321","","120","-0.4","1.8","0.5","0.6","12552"
"J.D. Martinez","BOS","18","75","3","9","13","0","6.7%","25.3%",".250",".383",".309",".360",".559",".398","","165","-0.2","5.1","-1.9","0.6","6184"
"Ryan Jeffers","MIN","18","63","3","7","9","0","9.5%","31.7%",".228",".294",".228",".302",".456",".334","","124","0.0","1.6","1.9","0.6","24618"
"Tom Murphy","SEA","13","40","1","9","1","0","20.0%","32.5%",".161",".529",".323",".462",".484",".423","","193","-0.4","3.6","0.7","0.6","13499"
"Mark Canha","NYM","19","74","1","5","8","0","8.1%","23.0%",".062",".438",".338",".405",".400",".364","","141","-0.3","3.2","-0.2","0.6","11445"
"Austin Hays","BAL","24","102","2","7","11","0","9.8%","18.6%",".144",".329",".278",".353",".422",".345","","131","0.3","3.6","-1.5","0.6","19363"
"Ozzie Albies","ATL","27","120","6","14","11","2","8.3%","17.5%",".208",".210",".217",".292",".425",".316","","101","0.9","1.1","0.4","0.6","16556"
"Steven Kwan","CLE","18","74","0","12","9","0","12.2%","9.5%",".115",".357",".328",".419",".443",".382","","158","0.0","4.6","-1.7","0.6","24610"
"Joc Pederson","SFG","18","60","6","11","10","1","3.3%","21.7%",".357",".316",".321",".350",".679",".440","","188","-1.0","5.2","-1.9","0.6","11899"
"Nick Castellanos","PHI","24","99","3","11","12","1","9.1%","25.3%",".170",".393",".307",".374",".477",".375","","141","0.4","5.2","-3.2","0.6","11737"
"Roberto Perez","PIT","20","66","2","7","8","0","13.6%","36.4%",".140",".323",".211",".318",".351",".306","","98","-0.3","-0.4","3.5","0.6","2900"
"Seiya Suzuki","CHC","24","96","4","13","15","1","14.6%","28.1%",".225",".320",".250",".365",".475",".364","","134","-0.2","3.6","-1.8","0.5","30116"
"Ryan McMahon","COL","23","94","2","11","13","0","10.6%","27.7%",".173",".340",".247",".351",".420",".346","","110","0.2","1.3","0.5","0.5","15112"
"Kyle Schwarber","PHI","23","97","7","13","16","1","13.4%","28.9%",".289",".188",".193",".309",".482",".346","","121","-1.0","1.5","0.3","0.5","16478"
"Pavin Smith","ARI","24","82","3","6","11","1","11.0%","23.2%",".183",".320",".268",".354",".451",".356","","128","0.3","3.0","-0.9","0.5","19892"
"Austin Slater","SFG","19","47","2","8","9","2","12.8%","25.5%",".171",".333",".268",".362",".439",".359","","134","0.9","2.8","0.4","0.5","16153"
"Chris Taylor","LAD","21","83","1","8","11","2","10.8%","33.7%",".153",".444",".292",".361",".444",".349","","128","0.1","2.8","-0.9","0.5","13757"
"Josh Naylor","CLE","15","55","2","6","11","0","3.6%","12.7%",".170",".364",".340",".364",".509",".384","","160","-1.1","2.5","0.4","0.5","18839"
"Manuel Margot","TBR","20","79","0","6","12","1","7.6%","13.9%",".069",".361",".306",".367",".375",".335","","131","-0.1","2.5","-0.4","0.5","14712"
"Cody Bellinger","LAD","23","91","4","10","9","3","7.7%","31.9%",".229",".260",".205",".275",".434",".312","","104","0.3","0.7","0.9","0.5","15998"
"Javier Baez","DET","14","60","2","4","11","0","6.7%","23.3%",".179",".300",".250",".300",".429",".322","","116","0.0","1.0","1.6","0.5","12979"
"Edward Olivares","KCR","14","36","0","5","2","2","5.6%","11.1%",".121",".414",".364",".417",".485",".400","","170","1.6","4.3","-1.0","0.5","19698"
"Jesus Sanchez","MIA","23","90","3","10","12","0","6.7%","30.0%",".195",".346",".256",".322",".451",".342","","124","-1.0","1.6","-0.1","0.5","19913"
"Harrison Bader","STL","24","87","1","12","5","6","8.0%","18.4%",".091",".279",".234",".310",".325",".290","","90","1.8","0.8","0.7","0.5","18030"
"Johan Camargo","PHI","19","60","2","3","8","0","6.7%","16.7%",".143",".295",".268",".317",".411",".324","","107","0.4","0.9","1.5","0.5","14950"
"Nick Ahmed","ARI","9","31","3","4","4","0","0.0%","32.3%",".355",".278",".258",".258",".613",".376","","140","0.3","1.7","1.6","0.5","12147"
"Will Smith","LAD","18","67","2","10","13","0","13.4%","16.4%",".158",".273",".246",".358",".404",".345","","125","-0.1","1.9","0.2","0.5","19197"
"Giancarlo Stanton","NYY","24","101","5","7","16","0","5.0%","30.7%",".170",".333",".266",".297",".436",".317","","113","0.1","1.5","-0.5","0.5","4949"
"Isiah Kiner-Falefa","NYY","23","85","0","15","7","2","5.9%","17.6%",".077",".354",".295",".329",".372",".311","","108","-0.4","0.4","1.1","0.4","16512"
"Daniel Vogelbach","PIT","20","80","4","11","11","0","8.8%","26.3%",".222",".354",".292",".350",".514",".373","","141","-0.1","3.7","-2.2","0.4","14130"
"Anthony Santander","BAL","25","103","3","11","12","0","17.5%","18.4%",".139",".276",".241",".408",".380",".362","","142","-1.7","3.0","-2.2","0.4","14551"
"Danny Jansen","TOR","3","8","2","3","2","0","12.5%","0.0%","1.000",".400",".571",".625","1.571",".892","","518","0.1","3.7","0.1","0.4","16535"
"Max Stassi","LAA","16","61","3","10","8","0","9.8%","31.1%",".182",".303",".236",".311",".418",".326","","118","-0.1","1.1","1.0","0.4","10059"
"Brandon Belt","SFG","17","79","4","10","9","0","13.9%","26.6%",".227",".293",".242",".367",".470",".373","","144","-0.6","3.4","-2.0","0.4","10264"
"Alec Bohm","PHI","23","76","2","12","14","1","9.2%","17.1%",".141",".321",".297",".355",".438",".345","","121","0.8","2.7","-1.1","0.4","21618"
"Patrick Wisdom","CHC","23","85","5","14","15","0","8.2%","40.0%",".286",".359",".247",".306",".532",".362","","132","0.0","3.2","-2.0","0.4","13602"
"Paul Goldschmidt","STL","23","100","2","13","11","2","13.0%","18.0%",".116",".333",".279",".374",".395",".349","","129","1.6","5.0","-4.3","0.4","9218"
"Brett Phillips","TBR","15","47","2","4","6","3","8.5%","36.2%",".140",".250",".186",".255",".326",".264","","80","0.8","-0.2","2.7","0.4","14735"
"Chad Pinder","OAK","16","61","3","7","9","1","0.0%","39.3%",".200",".441",".300",".295",".500",".344","","136","-0.4","2.0","0.0","0.4","15191"
"Connor Joe","COL","23","105","4","16","10","1","11.4%","17.1%",".228",".300",".272",".362",".500",".379","","131","-0.8","3.0","-2.6","0.4","16572"
"Taylor Walls","TBR","21","67","1","6","3","4","14.9%","25.4%",".143",".316",".232",".358",".375",".335","","131","-0.3","1.9","-0.2","0.4","22458"
"Austin Meadows","DET","21","89","0","8","11","0","11.2%","13.5%",".091",".354",".299",".393",".390",".355","","139","-0.7","3.0","-2.0","0.4","15672"
"Geraldo Perdomo","ARI","21","66","0","8","1","1","16.7%","25.8%",".075",".278",".189",".348",".264",".296","","88","0.6","-0.3","2.0","0.4","22799"
"Michael Brantley","HOU","21","92","2","8","9","0","6.5%","14.1%",".118",".314",".282",".330",".400",".322","","118","-0.5","1.3","-0.5","0.4","4106"
"Yadiel Hernandez","WSN","17","66","1","7","14","0","4.5%","21.2%",".161",".458",".371",".394",".532",".404","","159","-2.7","1.9","-0.2","0.4","19334"
"Odubel Herrera","PHI","10","26","2","4","7","0","3.8%","34.6%",".458",".357",".292",".308",".750",".436","","181","0.1","2.6","0.4","0.4","11476"
"Cedric Mullins II","BAL","25","112","3","15","10","3","6.3%","20.5%",".170",".270",".230",".306",".400",".316","","110","0.4","1.6","-1.4","0.4","17929"
"Joey Bart","SFG","16","59","3","8","5","1","16.9%","44.1%",".208",".316",".188",".339",".396",".336","","119","-0.1","1.2","0.4","0.4","21524"
"Brandon Marsh","LAA","21","73","2","7","15","3","6.8%","34.2%",".141",".359",".250",".315",".391",".313","","109","-0.2","0.5","0.7","0.4","20202"
"Eli White","TEX","16","22","0","6","1","3","13.6%","27.3%",".105",".385",".263",".364",".368",".333","","125","1.4","2.0","0.9","0.4","19346"
"Josh Donaldson","NYY","24","100","2","10","7","0","15.0%","26.0%",".143",".286",".214",".340",".357",".320","","115","-1.3","0.3","-0.1","0.4","5038"
"Teoscar Hernandez","TOR","6","23","1","3","3","0","8.7%","26.1%",".211",".417",".316",".435",".526",".427","","187","0.4","2.6","0.1","0.4","13066"
"Carlos Correa","MIN","23","99","2","12","11","0","8.1%","26.3%",".121",".349",".264",".323",".385",".318","","113","-2.0","-0.7","0.9","0.4","14162"
"Adolis Garcia","TEX","24","102","4","16","18","4","7.8%","25.5%",".200",".226",".200",".275",".400",".294","","97","1.7","1.3","-1.2","0.4","19287"
"Jose Siri","HOU","17","48","1","6","3","1","6.3%","33.3%",".136",".296",".205",".271",".341",".276","","86","0.6","-0.1","1.9","0.4","17452"
"Pete Alonso","NYM","27","116","5","15","21","0","5.2%","22.4%",".183",".293",".260",".319",".442",".333","","120","-0.5","2.3","-2.8","0.4","19251"
"Ben Gamel","PIT","24","78","1","10","10","2","11.5%","17.9%",".130",".333",".275",".359",".406",".343","","122","1.0","3.0","-2.4","0.3","12160"
"Jose Abreu","CHW","23","95","3","14","8","0","11.6%","18.9%",".145",".258",".229",".326",".373",".318","","114","-0.3","1.1","-1.0","0.3","15676"
"Michael A. Taylor","KCR","21","73","2","8","7","0","13.7%","20.5%",".097",".261",".226",".329",".323",".300","","98","0.2","0.1","0.8","0.3","11489"
"Kyle Garlick","MIN","13","26","3","6","6","0","19.2%","23.1%",".429",".167",".238",".385",".667",".448","","205","0.0","2.9","-0.6","0.3","18063"
"Jorge Mateo","BAL","24","86","0","7","5","7","5.8%","31.4%",".075",".340",".225",".271",".300",".258","","68","1.1","-1.9","2.3","0.3","17273"
"Jake Cronenworth","SDP","25","111","2","14","14","0","13.5%","15.3%",".130",".227",".207",".324",".337",".299","","96","-0.2","-0.8","0.3","0.3","18036"
"Lourdes Gurriel Jr.","TOR","26","103","2","12","10","1","3.9%","15.5%",".137",".304",".274",".311",".411",".317","","109","0.3","1.2","-1.4","0.3","19238"
"Christian Yelich","MIL","24","100","3","15","14","2","13.0%","25.0%",".167",".276",".226",".330",".393",".324","","107","1.2","2.0","-2.2","0.3","11477"
"Keibert Ruiz","WSN","20","80","0","4","7","0","3.8%","10.0%",".067",".294",".267",".300",".333",".283","","80","0.2","-1.6","2.2","0.3","19610"
"Julio Rodriguez","SEA","24","95","1","10","9","9","7.4%","34.7%",".080",".358",".230",".295",".310",".272","","85","0.6","-0.9","1.0","0.3","23697"
"Hunter Renfroe","MIL","23","91","5","12","10","0","4.4%","27.5%",".221",".263",".233",".264",".453",".312","","99","-0.5","-0.6","0.7","0.3","15464"
"Omar Narvaez","MIL","16","58","1","5","5","0","8.6%","27.6%",".098",".324",".235",".328",".333",".298","","90","0.0","-0.7","1.8","0.3","13338"
"Jesus Aguilar","MIA","22","95","2","6","11","0","14.7%","23.2%",".090",".351",".282",".379",".372",".339","","123","-0.3","2.2","-2.3","0.3","11342"
"Christian Walker","ARI","25","97","6","12","11","0","10.3%","21.6%",".253",".133",".161",".247",".414",".293","","86","0.8","-0.8","0.6","0.3","13419"
"Willson Contreras","CHC","19","83","2","13","7","0","10.8%","21.7%",".167",".288",".236",".337",".403",".334","","114","0.3","1.6","-1.4","0.3","11609"
"Victor Robles","WSN","23","74","0","9","10","0","5.4%","27.0%",".079",".341",".238",".300",".317",".280","","78","1.0","-0.9","1.5","0.3","18363"
"James McCann","NYM","18","58","1","5","5","1","3.4%","19.0%",".098",".225",".196",".276",".294",".263","","75","0.1","-1.7","2.7","0.3","12859"
"Tyler Stephenson","CIN","13","41","2","4","6","0","9.8%","24.4%",".176",".261",".235",".341",".412",".338","","112","0.0","0.6","0.9","0.3","17988"
"Gilberto Celestino","MIN","15","34","0","7","1","0","5.9%","17.6%",".069",".348",".276",".364",".345",".327","","119","-0.2","0.5","1.3","0.3","20233"
"Trea Turner","LAD","23","97","1","9","19","4","7.2%","20.6%",".114",".319",".261",".309",".375",".303","","97","0.9","0.6","-1.0","0.3","16252"
"Max Muncy","LAD","22","91","3","10","11","0","18.7%","19.8%",".164",".154",".151",".319",".315",".295","","92","0.6","-0.3","0.0","0.3","13301"
"Harold Ramirez","TBR","15","45","0","6","4","0","8.9%","15.6%",".077",".364",".308",".378",".385",".342","","136","-0.3","1.4","-0.2","0.3","14387"
"Aaron Hicks","NYY","21","79","1","10","5","2","17.7%","20.3%",".048",".340",".270",".397",".317",".331","","123","0.1","2.0","-1.9","0.3","5297"
"Dylan Moore","SEA","10","16","1","3","2","0","18.8%","12.5%",".417",".222",".250",".438",".667",".467","","224","-0.1","2.0","0.1","0.3","18042"
"Luis Guillorme","NYM","16","45","1","7","2","0","15.6%","15.6%",".162",".276",".243",".364",".405",".348","","130","-1.6","0.0","1.2","0.3","16451"
"Bryce Harper","PHI","25","106","4","18","15","3","6.6%","25.5%",".221",".273",".232",".292",".453",".325","","108","-0.1","0.8","-1.6","0.3","11579"
"Nicky Lopez","KCR","23","83","0","8","2","0","10.8%","14.5%",".042",".271",".225",".329",".268",".283","","86","0.8","-0.5","0.5","0.3","19339"
"Victor Caratini","MIL","9","30","1","3","3","0","13.3%","20.0%",".160",".263",".240",".333",".400",".326","","108","0.2","0.5","1.1","0.3","14968"
"Andrew Vaughn","CHW","16","60","4","5","12","0","8.3%","15.0%",".283",".275",".283",".367",".566",".407","","178","0.1","5.1","-4.5","0.3","26197"
"Garrett Cooper","MIA","22","87","1","8","7","0","10.3%","27.6%",".096",".354",".247",".368",".342",".331","","117","-0.4","1.3","-1.6","0.3","15279"
"Wilmer Flores","SFG","22","93","2","13","13","0","9.7%","15.1%",".134",".299",".268",".344",".402",".334","","118","0.4","2.3","-2.8","0.3","5827"
"Jorge Polanco","MIN","24","103","2","10","14","0","12.6%","23.3%",".124",".266",".213",".311",".337",".295","","97","-0.6","-0.9","0.2","0.3","13152"
"Jose Altuve","HOU","12","52","2","5","4","2","15.4%","19.2%",".136",".188",".182",".308",".318",".292","","97","-0.2","-0.3","1.2","0.3","5417"
"Randal Grichuk","COL","19","80","3","10","15","1","5.0%","22.5%",".164",".377",".315",".363",".479",".371","","126","-0.5","2.0","-2.1","0.3","10243"
"Nathaniel Lowe","TEX","24","100","1","8","9","0","8.0%","21.0%",".076",".371",".293",".350",".370",".325","","119","0.4","2.4","-3.2","0.3","19566"
"Travis Jankowski","NYM","18","32","0","8","1","3","12.5%","6.3%",".000",".346",".321",".406",".321",".338","","124","0.5","1.4","0.0","0.3","13768"
"Bryan De La Cruz","MIA","16","25","1","3","5","0","20.0%","24.0%",".158",".385",".316",".440",".474",".403","","164","-0.6","1.3","0.3","0.3","19600"
"Alfonso Rivas","CHC","11","32","1","4","6","0","15.6%","28.1%",".148",".471",".333",".438",".481",".402","","158","-0.2","2.0","-0.7","0.3","21560"
"Andrew Knizner","STL","13","41","1","3","6","0","12.2%","24.4%",".139",".320",".250",".341",".389",".330","","116","-0.2","0.6","0.4","0.2","19514"
"Gleyber Torres","NYY","23","79","3","4","12","0","3.8%","16.5%",".194",".224",".222",".256",".417",".292","","95","-0.6","-1.0","0.8","0.2","16997"
"Matt Reynolds","- - -","6","12","0","1","1","0","16.7%","16.7%",".200",".625",".500",".583",".700",".554","","254","0.0","2.2","-0.3","0.2","13788"
"Cesar Hernandez","WSN","26","117","0","15","6","2","4.3%","17.9%",".055",".348",".282",".325",".336",".299","","90","-0.5","-1.8","0.2","0.2","10556"
"David Peralta","ARI","25","91","3","5","9","0","9.9%","22.0%",".175",".237",".213",".286",".388",".293","","86","0.3","-1.1","0.3","0.2","2136"
"Tyler Wade","LAA","21","58","0","6","5","3","5.2%","20.7%",".060",".368",".280",".333",".340",".306","","104","-0.3","-0.1","0.4","0.2","15730"
"Jason Vosler","SFG","10","34","2","5","5","0","11.8%","23.5%",".241",".300",".276",".353",".517",".367","","140","-0.7","0.9","0.2","0.2","16686"
"Francisco Mejia","TBR","7","24","2","5","10","0","0.0%","29.2%",".304",".400",".348",".333",".652",".417","","189","0.2","2.5","-1.1","0.2","16403"
"Tucupita Marcano","PIT","1","2","0","1","0","0","0.0%","50.0%",".500","1.000",".500",".500","1.000",".643","","319","0.1","0.6","1.5","0.2","22871"
"Brandon Drury","CIN","19","65","4","8","9","0","6.2%","21.5%",".267",".233",".233",".277",".500",".335","","111","-0.8","0.0","0.0","0.2","11615"
"Kevin Smith","OAK","16","49","1","4","6","1","4.1%","28.6%",".152",".290",".217",".250",".370",".274","","85","-0.5","-1.2","1.8","0.2","20242"
"Cam Gallagher","KCR","8","18","0","1","2","0","5.6%","22.2%",".125",".417",".313",".353",".438",".350","","134","0.1","0.7","0.8","0.2","12981"
"Thairo Estrada","SFG","24","95","2","15","14","3","4.2%","16.8%",".124",".264",".236",".274",".360",".281","","83","1.3","-0.5","-0.5","0.2","16426"
"Ryan McKenna","BAL","18","24","0","4","2","0","12.5%","41.7%",".105",".500",".263",".375",".368",".320","","113","0.5","0.9","0.4","0.2","19928"
"Garrett Stubbs","PHI","5","11","0","0","1","0","9.1%","18.2%",".300",".500",".400",".455",".700",".491","","217","0.0","1.5","0.2","0.2","18067"
"Luke Maile","CLE","4","12","0","2","1","0","16.7%","16.7%",".300",".375",".300",".417",".600",".437","","198","-0.4","0.8","0.8","0.2","13355"
