"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Manny Machado","SDP","25","110","5","23","18","5","10.9%","18.2%",".229",".417",".365",".436",".594",".446","","192","1.8","13.6","2.6","2.1","11493"
"Nolan Arenado","STL","23","96","7","13","23","0","10.4%","14.6%",".337",".369",".360",".427",".698",".482","","216","0.3","13.3","2.5","2.0","9777"
"Jose Ramirez","CLE","24","105","7","14","29","2","14.3%","9.5%",".341",".292",".318",".419",".659",".460","","214","0.3","13.2","1.1","1.9","13510"
"Mike Trout","LAA","22","94","6","19","11","0","17.0%","21.3%",".355",".360",".316",".447",".671",".475","","225","-0.4","12.2","1.3","1.8","10155"
"Aaron Judge","NYY","24","102","9","17","19","2","8.8%","30.4%",".359",".346",".293",".356",".652",".434","","197","0.9","11.5","0.5","1.6","15640"
"J.P. Crawford","SEA","25","104","4","14","10","1","11.5%","11.5%",".227",".384",".364",".452",".591",".453","","214","0.1","12.9","-1.0","1.6","15491"
"Taylor Ward","LAA","18","77","6","17","15","1","16.9%","19.5%",".375",".419",".375",".481",".750",".522","","258","-0.2","12.9","-0.2","1.6","17548"
"Jazz Chisholm Jr.","MIA","20","79","4","13","19","5","8.9%","24.1%",".329",".388",".329",".380",".657",".437","","187","1.0","9.1","2.1","1.5","20454"
"Tommy Edman","STL","23","94","3","16","11","6","13.8%","10.6%",".167",".323",".308",".419",".474",".400","","162","1.9","8.7","0.9","1.4","19470"
"Wander Franco","TBR","23","101","4","17","14","3","4.0%","10.9%",".229",".305",".302",".327",".531",".368","","154","1.7","7.7","1.6","1.3","23667"
"Byron Buxton","MIN","16","67","7","15","13","1","3.0%","32.8%",".419",".333",".290",".343",".710",".452","","208","0.3","8.1","1.9","1.3","14161"
"Jeff McNeil","NYM","25","94","1","14","10","1","7.4%","11.7%",".140",".378",".337",".394",".477",".386","","155","1.1","7.2","1.6","1.3","15362"
"Eric Hosmer","SDP","23","94","3","11","17","0","12.8%","13.8%",".195",".424",".378",".457",".573",".444","","191","-1.0","9.0","-0.3","1.3","3516"
