"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Kevin Gausman","TOR","3","2","0","7","7","45.0","10.80","0.40","0.00",".353","68.2%","44.9%","0.0%","94.5","2.40","","0.84","2.11","2.5","14107"
"Carlos Rodon","SFG","4","1","0","6","6","35.0","13.63","3.09","0.00",".290","78.8%","39.1%","0.0%","96.4","1.80","","1.19","2.35","1.7","16137"
"Pablo Lopez","MIA","4","1","0","7","7","43.0","9.63","1.67","0.42",".236","90.1%","46.3%","5.7%","92.9","1.05","","2.13","2.63","1.5","17085"
"Joe Musgrove","SDP","4","0","0","6","6","39.0","9.46","0.69","0.69",".284","76.2%","39.8%","7.9%","92.4","2.08","","2.39","2.71","1.3","12970"
"Merrill Kelly","ARI","3","1","0","7","7","42.0","8.14","2.36","0.21",".294","85.8%","44.5%","2.6%","92.5","1.71","","2.46","3.38","1.2","11156"
"Shohei Ohtani","LAA","3","2","0","6","6","32.1","12.80","1.95","0.84",".284","78.4%","39.0%","11.1%","97.3","2.78","","2.11","2.04","1.2","19755"
"Dylan Cease","CHW","3","1","0","7","7","38.0","13.74","3.55","0.71",".300","72.2%","43.9%","8.8%","96.8","3.55","","2.34","2.53","1.2","18525"
"Zac Gallen","ARI","2","0","0","6","6","34.1","9.17","1.31","0.26",".202","89.8%","44.7%","2.6%","94.3","1.05","","2.23","3.35","1.2","19291"
"Michael King","NYY","2","1","1","11","0","22.2","12.31","1.59","0.40",".327","81.6%","44.0%","7.7%","95.9","1.59","","1.47","1.68","1.2","19853"
"Tarik Skubal","DET","2","2","0","6","6","33.2","9.09","1.60","0.53",".319","68.2%","50.0%","6.5%","94.4","2.94","","2.39","2.87","1.1","22267"
"Max Fried","ATL","4","2","0","7","7","43.0","8.58","0.84","0.84",".281","72.9%","50.8%","12.1%","94.6","3.14","","2.83","2.66","1.1","13743"
"Paul Blackburn","OAK","4","0","0","7","7","37.2","6.93","1.19","0.24",".262","82.8%","50.9%","4.0%","92.0","1.67","","2.31","2.86","1.1","14739"
"Clayton Kershaw","LAD","4","0","0","5","5","30.0","9.60","0.90","0.60",".239","84.2%","49.3%","8.7%","90.9","1.80","","2.24","2.41","1.0","2036"
"Nestor Cortes","NYY","1","1","0","6","6","32.0","11.81","3.09","0.56",".261","88.7%","36.6%","7.1%","90.5","1.41","","2.32","2.70","1.0","17874"
"Corbin Burnes","MIL","1","2","0","7","7","45.2","11.23","1.58","1.18",".227","94.6%","45.6%","16.2%","","1.77","","2.97","2.37","1.0","19361"
"Martin Perez","TEX","1","2","0","6","6","34.1","6.82","2.36","0.00",".258","66.7%","53.6%","0.0%","93.2","2.10","","2.55","3.82","1.0","6902"
"Max Scherzer","NYM","4","1","0","7","7","44.0","11.25","2.25","1.02",".253","83.3%","35.4%","10.9%","93.9","2.66","","3.04","2.98","1.0","3137"
"Shane McClanahan","TBR","2","2","0","7","7","39.1","13.27","2.29","1.14",".269","83.3%","61.4%","26.3%","97.6","2.52","","2.65","1.65","1.0","21483"
"Justin Verlander","HOU","4","1","0","6","6","40.2","7.97","1.33","0.89",".168","93.5%","38.8%","9.5%","94.9","1.55","","3.13","3.25","0.9","8700"
"Kyle Wright","ATL","3","2","0","6","6","35.2","10.35","2.78","0.50",".315","77.7%","48.9%","6.9%","95.4","3.03","","2.71","3.09","0.9","19665"
"Michael Kopech","CHW","0","0","0","6","6","29.0","9.31","4.03","0.00",".214","82.8%","30.0%","0.0%","95.8","0.93","","2.48","4.26","0.9","17282"
"Freddy Peralta","MIL","2","1","0","6","6","28.2","11.93","3.45","0.31",".338","66.5%","43.1%","4.0%","93.2","4.40","","2.37","3.10","0.9","18679"
"Chris Paddack","MIN","1","2","0","5","5","22.1","8.06","0.81","0.00",".357","64.3%","44.1%","0.0%","93.5","4.03","","1.72","3.05","0.9","20099"
"Logan Webb","SFG","5","1","0","7","7","41.1","6.10","2.40","0.22",".326","73.3%","57.6%","3.4%","92.6","3.48","","2.94","3.57","0.9","17995"
