"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Amir Garrett","KCR","1","0","0","8","0","6.2","8.10","8.10","0.00",".133","66.7%","26.7%","0.0%","93.8","4.05","","4.45","5.88","0.0","14375"
"Damon Jones","PHI","0","0","0","4","0","4.2","9.64","9.64","0.00",".308","58.3%","38.5%","0.0%","93.3","9.64","","6.10","7.27","0.0","23310"
"Michael Rucker","CHC","0","0","0","6","0","10.0","9.90","2.70","1.80",".217","83.3%","56.0%","20.0%","95.4","3.60","","4.40","3.16","0.0","19454"
"Ranger Suarez","PHI","2","1","0","5","5","23.1","5.79","3.86","1.54",".308","74.1%","50.0%","14.8%","93.7","4.63","","5.33","4.68","0.0","17277"
"Kyle Finnegan","WSN","1","0","0","10","0","8.2","8.31","5.19","1.04",".227","41.7%","65.2%","20.0%","95.9","5.19","","4.49","3.77","0.0","15009"
"Tyler Duffey","MIN","1","2","0","9","0","9.2","8.38","0.93","1.86",".370","78.4%","51.7%","66.7%","92.6","4.66","","4.24","1.97","0.0","13758"
"Tyler Danish","BOS","0","0","0","4","0","4.2","11.57","3.86","1.93",".222","83.3%","30.0%","25.0%","90.8","3.86","","4.60","2.98","-0.1","15126"
"Kyle Hendricks","CHC","1","3","0","6","6","30.1","6.82","3.56","1.78",".297","72.5%","38.1%","15.0%","87.4","5.64","","5.54","4.76","-0.1","12049"
"Nick Sandlin","CLE","2","1","0","9","0","8.2","6.23","4.15","1.04",".182","65.8%","52.2%","12.5%","94.1","4.15","","4.60","4.36","-0.1","20517"
"Aaron Bummer","CHW","0","1","1","11","0","10.0","12.60","7.20","0.90",".400","64.5%","50.0%","20.0%","","5.40","","4.30","3.68","-0.1","16258"
"German Marquez","COL","0","2","0","5","5","26.0","6.58","2.08","2.08",".360","60.1%","51.6%","26.1%","95.3","6.92","","5.45","3.65","-0.1","15038"
"Jharel Cotton","MIN","0","0","0","2","0","2.0","9.00","18.00","0.00",".000","100.0%","0.0%","0.0%","91.7","0.00","","7.10","9.14","-0.1","13654"
"Kutter Crawford","BOS","1","1","0","6","0","7.0","14.14","9.00","1.29",".524","51.1%","27.3%","10.0%","96.0","11.57","","4.82","4.90","-0.1","20531"
"Nick Snyder","TEX","0","0","0","2","0","1.0","0.00","27.00","0.00",".250","50.0%","25.0%","0.0%","97.0","18.00","","12.10","14.82","-0.1","23493"
"James Kaprielian","OAK","0","1","0","1","1","2.0","9.00","18.00","0.00",".375","42.9%","37.5%","0.0%","93.6","18.00","","7.10","9.14","-0.1","18331"
"Tony Santillan","CIN","0","0","1","8","0","7.2","8.22","3.52","1.17",".318","60.3%","26.1%","10.0%","95.8","7.04","","4.93","5.01","-0.1","19926"
"Alexander Wells","BAL","0","0","0","2","0","3.2","14.73","0.00","4.91",".375","100.0%","40.0%","40.0%","88.6","4.91","","6.92","1.68","-0.1","19845"
"Shawn Armstrong","MIA","0","0","0","7","0","6.2","6.75","4.05","1.35",".360","25.9%","34.6%","11.1%","94.9","10.80","","4.90","4.79","-0.1","12857"
"Patrick Murphy","WSN","0","0","0","6","0","5.2","6.35","12.71","0.00",".364","62.5%","59.1%","0.0%","96.3","6.35","","5.93","7.37","-0.1","19712"
"Lucas Sims","CIN","0","0","1","4","0","4.0","4.50","9.00","0.00",".231","12.5%","53.8%","0.0%","93.2","15.75","","5.85","7.21","-0.1","13470"
"Tyler Matzek","ATL","0","1","0","10","0","8.1","9.72","4.32","1.08",".167","69.8%","31.6%","9.1%","95.0","3.24","","4.66","4.90","-0.1","10058"
"Ralph Garza","TBR","0","0","0","1","0","3.0","3.00","9.00","0.00",".300","57.1%","30.0%","0.0%","92.1","9.00","","6.44","7.80","-0.1","17682"
"Elvis Peguero","LAA","0","0","0","1","0","1.0","0.00","0.00","9.00",".000","100.0%","50.0%","50.0%","95.5","9.00","","16.10","5.82","-0.1","21652"
"Kirby Snead","OAK","0","0","0","9","0","6.2","5.40","2.70","1.35",".375","75.5%","28.0%","8.3%","93.7","5.40","","4.75","5.25","-0.1","19179"
"Elvin Rodriguez","DET","0","0","0","1","0","2.2","6.75","6.75","3.38",".250","27.8%","22.2%","14.3%","94.5","13.50","","8.73","7.42","-0.1","20962"
"T.J. McFarland","STL","0","0","0","8","0","7.0","6.43","3.86","1.29",".409","69.0%","52.2%","25.0%","","6.43","","4.82","3.74","-0.1","3237"
"Chris Ellis","BAL","0","0","0","2","2","4.1","4.15","12.46","0.00",".313","58.3%","50.0%","0.0%","93.0","10.38","","7.03","8.59","-0.1","16125"
"Edwin Uceta","ARI","0","0","0","2","0","1.2","0.00","10.80","0.00",".167","50.0%","16.7%","0.0%","92.9","10.80","","8.50","11.76","-0.1","20539"
"Andrew Vasquez","TOR","0","0","0","3","0","2.1","15.43","7.71","3.86",".500","53.6%","28.6%","50.0%","","15.43","","9.10","4.70","-0.1","19482"
"Gregory Soto","DET","1","1","4","8","0","8.0","7.88","4.50","1.13",".211","78.9%","35.0%","9.1%","98.7","1.13","","4.48","4.72","-0.1","19677"
"Daniel Duarte","CIN","0","0","0","3","0","2.2","6.75","10.13","3.38",".250","65.2%","11.1%","14.3%","96.2","10.13","","9.85","8.54","-0.1","17480"
"Ronel Blanco","HOU","0","0","0","7","0","6.1","9.95","5.68","1.42",".368","69.0%","20.0%","12.5%","95.6","7.11","","5.31","4.98","-0.1","19407"
"Sonny Gray","MIN","0","1","0","2","2","6.1","7.11","4.26","2.84",".176","76.9%","36.8%","20.0%","91.3","5.68","","7.05","5.09","-0.1","12768"
"Kyle Muller","ATL","0","1","0","1","1","2.2","10.13","20.25","0.00",".400","30.0%","44.4%","0.0%","95.0","23.63","","7.60","8.11","-0.1","20167"
"Erasmo Ramirez","WSN","0","0","0","6","0","7.2","5.87","0.00","2.35",".227","96.2%","37.5%","20.0%","92.8","3.52","","5.58","3.96","-0.1","10314"
"Tyler Beede","SFG","0","0","0","6","0","9.2","3.72","5.59","0.93",".351","80.6%","41.7%","8.3%","95.6","4.66","","5.48","5.82","-0.1","16981"
"Matt Peacock","ARI","0","0","0","2","0","2.2","6.75","6.75","3.38",".250","83.3%","55.6%","50.0%","","6.75","","8.73","4.87","-0.1","20339"
"Brett Phillips","TBR","0","0","0","1","0","2.0","0.00","9.00","4.50",".286","27.8%","25.0%","20.0%","","18.00","","12.60","9.50","-0.1","14735"
"Craig Stammen","SDP","0","0","0","9","0","8.2","8.31","0.00","2.08",".269","69.4%","40.7%","18.2%","","4.15","","4.60","3.33","-0.1","7274"
"Aaron Civale","CLE","0","2","0","4","4","14.1","8.79","3.77","1.88",".388","41.0%","25.5%","11.1%","90.5","10.67","","5.76","5.59","-0.1","19479"
"Brusdar Graterol","LAD","0","1","0","10","0","8.1","9.72","6.48","1.08",".200","83.3%","61.9%","16.7%","99.3","3.24","","4.66","4.08","-0.1","20367"
"Locke St. John","CHC","0","0","0","1","0","2.0","18.00","0.00","9.00",".333","0.0%","0.0%","50.0%","89.3","13.50","","12.10","1.82","-0.1","16850"
"Sean Reid-Foley","NYM","0","0","0","7","0","10.0","7.20","6.30","0.90",".222","66.2%","39.3%","7.1%","96.0","5.40","","5.20","5.81","-0.1","17034"
