"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","NYY","102","450","43","89","93","10","12.4%","25.8%",".378",".312",".298",".386",".676",".441",".455","194","0.8","48.8","1.0","6.7","15640"
"Nolan Arenado","STL","95","401","20","46","61","2","8.7%","12.7%",".240",".292",".292",".359",".532",".381",".329","150","-0.3","23.5","12.3","5.2","9777"
"Paul Goldschmidt","STL","97","422","25","70","81","5","11.6%","21.8%",".280",".385",".332",".412",".611",".435",".363","188","1.8","45.3","-11.2","5.1","9218"
"Dansby Swanson","ATL","105","441","15","69","55","14","7.7%","26.1%",".169",".387",".300",".358",".469",".360",".351","130","3.4","19.1","13.8","5.0","18314"
"Freddie Freeman","LAD","104","467","15","72","68","9","10.9%","14.8%",".209",".357",".324",".400",".533",".398",".410","161","4.4","37.7","-6.1","5.0","5361"
"Yordan Alvarez","HOU","89","372","30","67","72","1","14.8%","18.5%",".352",".298",".303",".409",".655",".441",".470","196","-0.5","40.0","-5.1","4.9","19556"
"Manny Machado","SDP","96","411","19","68","59","7","10.5%","19.7%",".222",".330",".293",".367",".515",".375",".336","146","3.2","25.6","6.7","4.8","11493"
"Jose Ramirez","CLE","100","434","21","62","86","14","10.1%","9.7%",".274",".272",".285",".359",".559",".385",".334","154","4.3","30.8","1.4","4.8","13510"
"Rafael Devers","BOS","89","388","23","63","57","2","6.4%","18.8%",".283",".352",".322",".376",".605",".414",".383","170","1.1","32.1","0.1","4.6","17350"
"Austin Riley","ATL","103","445","29","62","68","2","7.2%","24.9%",".300",".346",".300",".360",".599",".406",".401","161","0.3","32.4","-3.9","4.6","18360"
"Francisco Lindor","NYM","103","455","19","63","74","10","9.2%","19.8%",".197",".290",".262",".338",".459",".345",".332","128","1.3","16.4","9.1","4.3","12916"
"Xander Bogaerts","BOS","101","424","9","58","46","7","9.7%","20.8%",".148",".384",".312",".387",".460",".369",".322","138","4.5","22.9","4.8","4.3","12161"
"Mookie Betts","LAD","87","404","24","73","56","7","9.2%","16.3%",".261",".264",".267",".339",".528",".371",".350","143","1.3","21.5","5.2","4.2","13611"
"Trea Turner","LAD","104","460","17","62","76","18","6.1%","18.9%",".194",".346",".306",".347",".500",".363",".354","137","2.4","22.5","1.6","4.2","16252"
"Mike Trout","LAA","79","326","24","55","51","1","12.0%","29.8%",".330",".323",".270",".368",".599",".405",".396","168","-0.6","24.6","2.0","3.9","10155"
"Tommy Edman","STL","100","433","7","68","35","21","8.3%","18.0%",".112",".302",".255",".322",".367",".304",".306","99","7.2","6.5","14.3","3.7","19470"
"DJ LeMahieu","NYY","96","418","11","67","42","5","13.6%","12.2%",".138",".312",".289",".392",".427",".364",".373","140","-3.1","16.1","5.7","3.7","9874"
"Andres Gimenez","CLE","93","341","12","41","50","11","5.6%","21.1%",".189",".359",".301",".368",".490",".372",".346","145","1.2","18.6","3.9","3.5","19950"
"Jake Cronenworth","SDP","104","465","11","68","55","1","11.2%","20.0%",".158",".290",".244",".348",".402",".332",".307","117","4.7","14.2","2.9","3.4","18036"
"Jose Abreu","CHW","102","445","14","57","55","0","10.6%","15.1%",".176",".333",".302",".382",".478",".375",".389","148","0.4","24.5","-6.0","3.4","15676"
"Jose Trevino","NYY","75","217","10","29","34","2","5.1%","17.1%",".196",".278",".265",".304",".461",".330",".290","116","1.1","5.1","20.4","3.4","16725"
"Brandon Nimmo","NYM","96","428","10","64","39","0","8.9%","16.8%",".157",".311",".272",".352",".429",".343",".344","127","-1.0","12.7","4.6","3.3","12927"
"Byron Buxton","MIN","79","328","26","57","46","3","8.2%","29.9%",".327",".228",".221",".299",".548",".359",".356","136","3.1","16.5","4.8","3.3","14161"
"Jose Altuve","HOU","89","386","19","60","37","9","10.1%","14.8%",".230",".288",".280",".365",".510",".378",".346","152","-2.9","19.9","-0.5","3.3","5417"
"Corey Seager","TEX","98","430","24","54","55","3","9.3%","15.6%",".226",".238",".247",".323",".472",".339",".379","123","1.3","12.5","5.2","3.3","13624"
"J.T. Realmuto","PHI","89","363","10","47","47","13","8.3%","20.7%",".153",".304",".259",".333",".411",".327",".334","109","3.5","7.2","11.1","3.2","11739"
"Julio Rodriguez","SEA","96","401","18","55","57","21","7.0%","27.2%",".211",".339",".271",".334",".482",".351",".340","135","1.8","17.8","-0.9","3.1","23697"
"Sean Murphy","OAK","95","388","13","44","45","1","8.2%","21.4%",".192",".283",".245",".320",".437",".328",".346","118","-1.7","6.2","10.7","3.0","19352"
"Jurickson Profar","SDP","99","431","12","62","47","5","12.3%","14.8%",".172",".282",".258",".353",".430",".345",".327","126","0.7","13.8","0.5","3.0","10815"
"Jeff McNeil","NYM","91","352","5","43","39","2","6.8%","12.5%",".128",".337",".302",".361",".430",".347",".306","130","2.4","14.9","1.0","2.9","15362"
"Brandon Drury","- - -","93","389","21","63","63","2","7.5%","21.6%",".252",".304",".275",".337",".527",".370",".318","134","-2.1","13.5","1.1","2.9","11615"
"Alejandro Kirk","TOR","92","346","12","48","40","0","10.7%","9.5%",".166",".308",".305",".384",".470",".372",".369","142","-5.0","11.3","5.7","2.9","22581"
"Pete Alonso","NYM","103","443","28","60","88","2","9.3%","19.6%",".271",".282",".276",".354",".547",".377",".365","150","-2.2","23.9","-11.2","2.9","19251"
"Gavin Lux","LAD","96","347","4","52","32","6","11.2%","17.6%",".128",".354",".295",".372",".423",".349",".332","128","3.4","14.7","1.0","2.9","19955"
"Will Smith","LAD","89","372","15","41","55","0","10.8%","16.1%",".201",".279",".262",".352",".463",".355",".369","132","-1.0","12.8","1.9","2.9","19197"
"Willy Adames","MIL","82","360","21","55","61","3","8.6%","26.9%",".246",".248",".225",".292",".471",".327",".327","109","-0.5","3.3","11.5","2.8","15986"
"Nico Hoerner","CHC","87","332","6","33","33","10","4.8%","11.1%",".123",".317",".294",".337",".416",".327",".311","109","0.9","4.3","10.2","2.7","21479"
"Bryce Harper","PHI","64","275","15","49","48","9","9.5%","18.9%",".281",".346",".318",".385",".599",".412",".422","167","0.3","21.8","-5.4","2.7","11579"
"Willson Contreras","CHC","87","379","14","51","38","3","9.8%","21.9%",".206",".300",".253",".369",".459",".365",".368","135","-0.7","14.8","-2.0","2.7","11609"
"Juan Soto","- - -","102","441","21","63","46","6","21.1%","14.1%",".238",".244",".246",".410",".484",".390",".413","151","-3.4","23.3","-12.6","2.7","20123"
"Vladimir Guerrero Jr.","TOR","103","443","21","60","63","4","9.5%","17.2%",".214",".304",".285",".359",".499",".368",".370","139","-2.1","17.3","-5.7","2.7","19611"
"Alex Bregman","HOU","101","428","13","54","56","0","13.1%","13.1%",".177",".256",".247",".353",".424",".341",".339","126","-1.9","10.8","1.2","2.7","17678"
