"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Kevin Gausman","TOR","10","9","0","25","25","140.1","10.52","1.48","0.58",".371","73.4%","39.1%","6.4%","94.9","3.14","3.48","2.13","2.76","5.1","14107"
"Aaron Nola","PHI","9","11","0","26","26","170.2","10.02","1.16","0.90",".291","71.9%","43.4%","10.1%","92.9","3.43","2.71","2.72","2.87","4.9","16149"
"Carlos Rodon","SFG","12","7","0","26","26","151.1","11.36","2.68","0.59",".292","74.5%","35.6%","6.2%","95.6","3.03","2.80","2.41","3.12","4.9","16137"
"Justin Verlander","HOU","16","3","0","24","24","152.0","9.12","1.54","0.71",".238","81.1%","38.6%","7.1%","95.1","1.84","2.73","2.71","3.32","4.8","8700"
"Max Fried","ATL","12","5","0","25","25","158.1","8.13","1.53","0.45",".289","75.9%","52.3%","6.3%","94.1","2.56","2.86","2.54","3.05","4.6","13743"
"Sandy Alcantara","MIA","12","7","0","27","27","190.2","8.02","2.22","0.61",".257","78.3%","53.7%","8.1%","97.9","2.36","2.97","3.07","3.42","4.6","18684"
"Shohei Ohtani","LAA","11","8","0","23","23","136.0","11.98","2.18","0.93",".298","82.7%","38.6%","10.1%","97.4","2.58","2.80","2.55","2.70","4.4","19755"
"Spencer Strider","ATL","9","4","0","28","17","114.2","13.66","2.98","0.47",".288","74.1%","40.1%","6.6%","98.2","2.67","2.44","1.84","2.32","4.2","27498"
"Max Scherzer","NYM","9","4","0","20","20","127.2","10.79","1.62","0.70",".281","82.6%","29.3%","6.4%","94.0","2.26","2.84","2.54","3.32","4.1","3137"
"Shane Bieber","CLE","8","8","0","25","25","159.0","9.28","1.87","0.79",".296","74.5%","47.7%","10.4%","91.5","3.06","3.43","2.86","2.96","3.9","19427"
"Shane McClanahan","TBR","11","5","0","24","24","147.1","11.12","1.83","0.92",".248","81.7%","52.3%","15.8%","97.0","2.20","2.54","2.65","2.27","3.8","21483"
"Dylan Cease","CHW","13","6","0","27","27","156.0","11.37","3.69","0.81",".256","81.8%","39.1%","8.9%","97.0","2.13","2.69","3.03","3.35","3.8","18525"
"Merrill Kelly","ARI","12","5","0","27","27","164.2","7.76","2.62","0.55",".274","76.5%","44.7%","6.0%","92.4","2.84","3.14","3.10","3.80","3.8","11156"
"Zack Wheeler","PHI","11","7","0","23","23","138.0","9.65","2.15","0.78",".293","75.4%","44.1%","9.5%","96.0","3.07","3.14","2.98","3.19","3.6","10310"
"Yu Darvish","SDP","12","7","0","25","25","162.2","8.96","1.72","0.94",".258","75.9%","38.8%","9.3%","95.2","3.26","3.63","3.28","3.56","3.6","13074"
"Corbin Burnes","MIL","9","6","0","27","27","164.0","10.98","2.52","1.10",".261","77.0%","43.7%","13.5%","96.1","3.02","3.09","3.31","3.05","3.5","19361"
"Alek Manoah","TOR","13","7","0","26","26","163.0","8.45","2.21","0.77",".256","80.4%","37.8%","7.8%","94.0","2.48","3.53","3.35","3.85","3.4","26410"
"Tyler Anderson","LAD","13","3","0","25","23","147.2","6.95","1.83","0.67",".259","77.8%","39.8%","6.1%","90.7","2.68","3.18","3.30","4.13","3.3","12880"
"Logan Webb","SFG","11","8","0","27","27","165.0","7.47","2.51","0.55",".289","72.0%","58.5%","9.2%","92.4","2.89","3.60","3.19","3.38","3.3","17995"
"Framber Valdez","HOU","14","4","0","25","25","164.0","8.23","3.07","0.49",".269","78.3%","67.0%","12.7%","94.0","2.63","3.30","3.23","3.15","3.3","17295"
"Gerrit Cole","NYY","10","7","0","27","27","164.2","11.15","2.19","1.26",".272","78.2%","44.0%","14.3%","97.8","3.28","3.07","3.22","2.84","3.2","13125"
"Patrick Sandoval","LAA","5","9","0","22","22","122.0","9.37","3.84","0.44",".316","75.3%","46.6%","5.7%","93.2","3.02","3.95","3.08","3.70","3.2","19447"
"Zac Gallen","ARI","10","2","0","25","25","145.2","8.96","2.41","0.68",".240","77.8%","48.2%","8.6%","93.9","2.53","3.35","3.16","3.47","3.2","19291"
"Joe Musgrove","SDP","9","6","0","24","24","149.1","8.98","1.87","0.96",".273","76.1%","46.1%","11.3%","92.9","3.01","3.14","3.38","3.37","3.2","12970"
"Luis Castillo","- - -","6","5","0","20","20","122.2","9.76","2.71","0.73",".269","79.0%","47.0%","9.9%","97.0","2.71","3.30","3.09","3.24","3.1","15689"
"Martin Perez","TEX","10","5","0","26","26","159.0","8.15","3.06","0.62",".290","77.0%","51.8%","7.9%","92.9","2.89","3.43","3.32","3.71","3.1","6902"
"Tarik Skubal","DET","7","8","0","21","21","117.2","8.95","2.45","0.69",".299","67.5%","45.7%","7.9%","94.2","3.52","3.33","2.97","3.40","2.9","22267"
"Julio Urias","LAD","15","7","0","26","26","145.2","8.59","2.10","1.11",".229","84.0%","38.3%","10.1%","93.2","2.29","2.77","3.62","3.81","2.8","14765"
"Alex Cobb","SFG","5","6","0","22","22","118.0","9.31","2.59","0.61",".324","67.0%","61.9%","11.9%","95.2","3.58","3.07","2.85","2.80","2.8","6562"
"Kyle Wright","ATL","17","5","0","25","25","154.2","8.73","2.50","0.93",".280","81.3%","54.3%","13.6%","95.1","2.85","3.82","3.50","3.27","2.7","19665"
"Adam Wainwright","STL","10","9","0","27","27","168.0","7.07","2.41","0.75",".291","78.0%","45.8%","8.5%","88.3","3.21","4.21","3.54","3.89","2.7","2233"
"Jose Quintana","- - -","4","6","0","26","26","132.1","7.41","2.92","0.54",".316","71.9%","46.5%","6.6%","91.2","3.47","4.24","3.28","3.85","2.6","11423"
"Nestor Cortes","NYY","9","4","0","23","23","131.0","9.14","2.06","1.10",".240","83.3%","32.7%","9.5%","91.7","2.68","2.80","3.41","3.71","2.6","17874"
"Justin Steele","CHC","4","7","0","24","24","119.0","9.53","3.78","0.61",".317","72.6%","51.2%","8.7%","92.4","3.18","3.58","3.21","3.47","2.6","17312"
"Chris Bassitt","NYM","12","7","0","25","25","154.1","8.34","2.33","0.87",".286","77.2%","49.2%","10.3%","93.3","3.32","3.23","3.52","3.65","2.5","12304"
"Tony Gonsolin","LAD","16","1","0","23","23","128.1","8.14","2.45","0.77",".201","84.3%","43.2%","8.3%","93.2","2.10","3.11","3.34","3.73","2.5","19388"
"Clayton Kershaw","LAD","7","3","0","16","16","90.1","9.37","1.79","0.70",".269","74.8%","48.5%","8.6%","90.9","2.59","2.61","2.71","3.02","2.5","2036"
"Corey Kluber","TBR","10","7","0","26","26","141.2","7.75","1.14","1.14",".294","71.4%","36.3%","9.9%","89.1","4.00","4.12","3.62","3.85","2.5","2429"
"Jordan Montgomery","- - -","8","3","0","27","27","151.1","7.67","1.72","0.95",".269","78.3%","49.1%","12.0%","92.8","3.15","3.87","3.52","3.44","2.5","16511"
