"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Manny Machado","SDP","67","289","12","49","46","7","10.4%","17.3%",".218",".367",".327",".398",".545",".400","","162","3.4","24.6","7.3","4.4","11493"
"Rafael Devers","BOS","74","328","17","56","45","2","7.0%","17.1%",".264",".358",".328",".387",".592",".415","","172","2.1","28.8","0.2","4.1","17350"
"Paul Goldschmidt","STL","74","325","19","56","65","3","12.6%","19.7%",".288",".387",".342",".424",".630",".447","","194","1.3","37.5","-9.8","4.1","9218"
"Jose Ramirez","CLE","71","310","16","47","63","12","11.6%","8.1%",".300",".277",".296",".381",".596",".409","","173","2.5","27.9","0.4","4.0","13510"
"Aaron Judge","NYY","75","329","29","62","59","5","10.9%","25.2%",".341",".296",".286",".361",".627",".410","","174","-0.7","26.8","0.8","3.9","15640"
"Mike Trout","LAA","69","287","23","53","47","0","12.9%","27.5%",".366",".326",".285",".387",".650",".431","","188","-0.8","27.6","1.0","3.9","10155"
"Yordan Alvarez","HOU","67","279","23","49","56","0","13.3%","16.5%",".342",".306",".316",".412",".658",".448","","203","-1.4","30.9","-4.8","3.6","19556"
"Tommy Edman","STL","76","332","7","58","32","19","8.7%","18.1%",".130",".319",".271",".341",".401",".329","","114","6.2","11.8","10.4","3.5","19470"
"Dansby Swanson","ATL","77","317","13","48","43","11","7.9%","27.4%",".191",".376",".292",".353",".483",".363","","131","2.5","14.2","7.7","3.4","18314"
"Xander Bogaerts","BOS","73","310","6","47","31","3","9.4%","20.6%",".143",".403",".326",".397",".469",".377","","145","2.6","18.4","3.8","3.3","12161"
"Nolan Arenado","STL","74","311","14","35","49","0","8.7%","13.2%",".217",".281",".278",".341",".495",".359","","135","0.4","13.3","7.6","3.3","9777"
"Mookie Betts","LAD","60","275","17","53","40","6","9.8%","17.1%",".261",".275",".273",".349",".535",".379","","147","2.4","17.7","2.9","3.1","13611"
"Freddie Freeman","LAD","75","339","9","50","47","7","11.2%","17.7%",".186",".354",".304",".386",".490",".377","","145","3.0","21.3","-4.4","3.0","5361"
"Alejandro Kirk","TOR","67","246","10","39","31","0","12.2%","9.3%",".195",".318",".319",".411",".514",".401","","163","-2.0","15.4","5.5","3.0","22581"
"Trea Turner","LAD","75","331","11","41","56","15","6.9%","19.3%",".182",".351",".305",".352",".487",".360","","134","1.9","15.2","0.7","2.9","16252"
"Willson Contreras","CHC","67","290","13","44","34","3","10.7%","20.0%",".238",".324",".283",".397",".520",".399","","156","0.5","19.9","-2.7","2.8","11609"
"Kyle Tucker","HOU","70","283","15","32","51","14","13.4%","16.6%",".234",".257",".254",".353",".488",".364","","143","1.6","15.4","1.7","2.7","18345"
"Bryce Harper","PHI","64","275","15","49","48","9","9.5%","18.9%",".281",".346",".318",".385",".599",".413","","165","0.3","21.6","-5.4","2.7","11579"
"Byron Buxton","MIN","59","243","20","44","36","1","8.2%","28.0%",".341",".231",".230",".309",".571",".372","","147","1.4","14.2","3.3","2.6","14161"
"Taylor Ward","LAA","54","228","11","41","31","2","12.7%","22.8%",".236",".375",".312",".399",".548",".408","","172","0.3","18.7","-0.8","2.6","17548"
"Jazz Chisholm Jr.","MIA","60","241","14","39","45","12","8.7%","27.4%",".282",".294",".254",".325",".535",".365","","139","2.0","13.1","2.8","2.5","20454"
"Julio Rodriguez","SEA","77","318","13","43","39","19","6.9%","28.3%",".193",".351",".272",".333",".466",".346","","133","2.0","13.8","0.4","2.5","23697"
"Francisco Lindor","NYM","75","330","12","45","56","8","8.8%","19.4%",".176",".265",".241",".318",".417",".320","","111","1.7","5.9","6.3","2.5","12916"
"Brandon Nimmo","NYM","68","296","5","42","24","0","9.5%","16.6%",".153",".324",".278",".364",".431",".349","","130","-1.0","9.6","3.4","2.4","12927"
"Jeremy Pena","HOU","57","224","9","30","27","6","5.4%","23.7%",".186",".326",".275",".327",".461",".342","","128","1.2","8.1","8.0","2.4","21636"
"Jeff McNeil","NYM","67","255","4","33","33","2","7.5%","12.5%",".134",".360",".323",".380",".457",".367","","142","1.5","14.2","-0.2","2.4","15362"
"Andres Gimenez","CLE","64","231","9","26","37","6","4.3%","19.9%",".194",".357",".308",".355",".502",".370","","145","0.4","12.0","3.3","2.3","19950"
"Jake Cronenworth","SDP","76","343","7","49","43","1","9.6%","19.5%",".153",".296",".248",".341",".401",".328","","113","2.2","7.6","2.9","2.3","18036"
"Ty France","SEA","70","311","10","32","45","0","6.4%","13.8%",".160",".345",".316",".390",".476",".380","","157","-0.8","19.0","-6.7","2.3","17982"
"Josh Bell","WSN","77","323","11","42","46","0","11.5%","13.3%",".188",".341",".319",".402",".507",".391","","150","-4.4","14.8","-4.2","2.3","13145"
"Tim Anderson","CHW","48","212","5","29","19","10","3.8%","12.3%",".120",".373",".340",".377",".460",".366","","143","2.2","12.4","2.5","2.2","15172"
"Pete Alonso","NYM","75","320","22","45","69","2","9.7%","20.0%",".280",".281",".280",".359",".560",".384","","154","-1.0","19.4","-9.1","2.2","19251"
"Adolis Garcia","TEX","72","306","15","46","49","11","4.9%","26.5%",".231",".306",".259",".297",".490",".335","","121","3.2","10.5","1.5","2.2","19287"
"Jose Trevino","NYY","51","144","6","19","24","1","6.3%","15.3%",".173",".274",".263",".313",".436",".325","","114","0.8","3.1","13.7","2.2","16725"
"Nico Hoerner","CHC","61","226","4","22","24","6","4.0%","10.2%",".117",".332",".310",".345",".427",".334","","113","1.6","5.0","8.4","2.2","21479"
"Alex Bregman","HOU","73","308","9","39","38","0","14.3%","13.3%",".168",".254",".242",".360",".410",".343","","128","-0.2","9.6","1.6","2.2","17678"
"Jose Altuve","HOU","60","262","15","39","26","5","9.9%","16.8%",".251",".267",".264",".351",".515",".375","","151","-3.7","11.3","0.6","2.1","5417"
"Ian Happ","CHC","74","301","8","35","37","5","13.3%","19.3%",".177",".330",".280",".382",".457",".364","","133","0.1","11.9","-2.2","2.1","17919"
"Jose Abreu","CHW","72","317","9","41","35","0","12.0%","15.1%",".167",".315",".284",".375",".451",".363","","141","-0.1","14.6","-4.6","2.1","15676"
"George Springer","TOR","68","293","15","45","36","8","9.2%","19.8%",".236",".276",".260",".340",".496",".359","","133","2.0","12.9","-2.3","2.1","12856"
"DJ LeMahieu","NYY","68","287","7","41","31","2","12.2%","12.9%",".137",".283",".262",".359",".399",".338","","123","-1.4","6.1","4.7","2.1","9874"
"Luis Arraez","MIN","69","286","4","43","27","2","11.5%","8.0%",".092",".362",".340",".420",".432",".377","","150","0.4","16.6","-6.1","2.0","18568"
"Travis d'Arnaud","ATL","52","217","11","32","36","0","2.8%","19.8%",".229",".291",".268",".309",".498",".348","","120","-1.1","4.1","7.4","2.0","7739"
"Austin Riley","ATL","75","325","18","40","43","2","7.4%","27.1%",".247",".303",".257",".326",".503",".356","","126","0.7","10.7","-3.5","1.9","18360"
"Kyle Schwarber","PHI","75","328","23","54","50","4","14.9%","29.0%",".293",".233",".217",".338",".511",".364","","133","-1.5","11.2","-4.3","1.9","16478"
"Ke'Bryan Hayes","PIT","68","289","3","33","25","8","9.0%","22.1%",".108",".330",".258",".329",".365",".309","","98","0.7","-0.1","8.1","1.9","18577"
"Carlos Correa","MIN","56","243","9","34","28","0","9.1%","23.0%",".178",".368",".301",".366",".479",".368","","144","-2.0","10.0","0.3","1.9","14162"
