"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Eugenio Suarez","SEA","77","329","13","36","38","0","11.2%","32.5%",".199",".321",".234",".328",".434",".334","","124","-1.8","7.1","0.5","1.9","12552"
"Corey Seager","TEX","72","317","15","37","35","3","8.8%","17.7%",".194",".233",".229",".303",".423",".313","","106","1.3","3.4","4.5","1.9","13624"
"Brandon Drury","CIN","65","271","16","48","40","1","7.0%","21.0%",".258",".295",".274",".332",".532",".370","","133","-1.6","9.0","-0.7","1.8","11615"
"Jurickson Profar","SDP","77","337","8","50","38","4","13.1%","14.8%",".160",".272",".247",".350",".406",".335","","118","0.0","7.3","-1.5","1.8","10815"
"Trevor Story","BOS","69","298","12","41","52","10","9.4%","30.5%",".194",".287",".224",".302",".418",".309","","97","2.3","1.4","6.4","1.8","12564"
"J.T. Realmuto","PHI","68","278","5","36","29","10","7.9%","21.6%",".121",".293",".239",".317",".360",".302","","91","2.6","-0.4","7.7","1.8","11739"
"C.J. Cron","COL","76","326","17","45","56","0","6.4%","26.4%",".240",".357",".294",".348",".534",".375","","128","-0.4","10.5","-5.0","1.7","12546"
"Willy Adames","MIL","56","238","15","37","41","1","8.4%","27.3%",".258",".226",".212",".282",".470",".324","","106","-1.1","0.5","7.8","1.7","15986"
"Austin Hays","BAL","72","301","11","39","45","1","6.3%","17.6%",".196",".310",".279",".336",".475",".351","","130","0.6","10.8","-3.9","1.7","19363"
"Shohei Ohtani","LAA","75","323","17","46","49","8","10.8%","24.5%",".240",".307",".265",".350",".505",".363","","140","-0.3","14.0","-7.9","1.7","19755"
"Santiago Espinal","TOR","76","294","6","28","37","3","7.1%","17.7%",".134",".313",".271",".323",".405",".317","","104","-0.4","0.9","6.0","1.7","19997"
"Cedric Mullins II","BAL","75","332","6","40","29","16","6.3%","17.8%",".126",".301",".258",".315",".384",".307","","99","3.1","2.6","3.1","1.7","17929"
"Garrett Cooper","MIA","66","270","5","24","35","0","8.1%","23.0%",".143",".400",".315",".381",".458",".366","","140","-1.0","11.7","-5.1","1.7","15279"
"Matt Olson","ATL","77","339","12","32","42","0","12.7%","21.8%",".229",".297",".253",".348",".481",".356","","126","-2.6","8.0","-3.7","1.7","14344"
"Luis Robert","CHW","59","260","8","35","38","11","3.1%","18.8%",".137",".339",".294",".323",".431",".327","","116","2.8","7.4","0.3","1.6","20043"
"Sean Murphy","OAK","69","279","8","28","30","1","7.5%","23.7%",".169",".260",".217",".291",".386",".296","","97","-0.8","-1.7","8.7","1.6","19352"
"Jonah Heim","TEX","55","199","10","25","29","2","8.0%","19.1%",".215",".259",".249",".307",".464",".332","","119","-0.5","3.8","5.7","1.6","16930"
"Will Smith","LAD","62","256","12","30","37","0","10.9%","14.8%",".204",".260",".258",".340",".462",".348","","126","-0.9","6.9","-0.1","1.6","19197"
"Vladimir Guerrero Jr.","TOR","75","325","18","42","46","0","11.4%","18.5%",".227",".272",".262",".354",".489",".362","","136","-2.2","10.8","-5.3","1.6","19611"
"J.D. Martinez","BOS","66","294","8","44","33","0","9.5%","22.8%",".185",".390",".313",".384",".498",".381","","148","-2.5","13.5","-7.2","1.6","6184"
"Bobby Witt Jr.","KCR","72","299","11","41","39","12","5.7%","24.4%",".214",".287",".243",".291",".457",".319","","107","2.1","4.5","1.6","1.6","25764"
"Gavin Lux","LAD","68","246","2","39","17","5","10.2%","17.9%",".096",".354",".292",".362",".388",".333","","116","2.1","6.7","0.2","1.6","19955"
"Joc Pederson","SFG","65","217","17","33","39","2","8.8%","22.1%",".307",".279",".276",".350",".583",".395","","158","-1.4","13.5","-5.7","1.6","11899"
"Yandy Diaz","TBR","67","269","3","30","15","1","15.2%","10.8%",".084",".301",".271",".390",".356",".341","","130","-2.7","6.5","0.3","1.6","16578"
"Jon Berti","MIA","46","175","2","27","14","22","11.4%","22.9%",".118",".369",".281",".371",".399",".343","","124","3.8","8.8","0.1","1.6","12037"
"Giancarlo Stanton","NYY","63","259","19","30","52","0","11.6%","27.0%",".276",".266",".249",".333",".524",".364","","142","-1.2","11.0","-4.4","1.5","4949"
"Juan Soto","WSN","76","333","14","43","32","5","18.9%","15.0%",".213",".225",".224",".375",".437",".359","","129","-0.1","11.3","-8.2","1.5","20123"
"Jace Peterson","MIL","67","203","7","29","26","9","9.4%","25.1%",".190",".293",".240",".317",".430",".323","","105","2.5","3.8","3.7","1.5","12325"
"Cal Raleigh","SEA","49","166","10","17","23","0","10.2%","30.1%",".274",".216",".199",".283",".473",".323","","117","0.3","3.5","5.9","1.5","21534"
"Gleyber Torres","NYY","69","256","13","33","32","4","6.6%","19.1%",".231",".259",".248",".302",".479",".334","","120","-1.2","4.7","1.8","1.5","16997"
"Ji-Man Choi","TBR","53","202","6","22","35","0","14.9%","27.7%",".182",".382",".282",".386",".465",".369","","150","0.2","11.6","-3.6","1.5","5452"
"Max Kepler","MIN","68","273","8","34","35","2","12.8%","14.3%",".160",".257",".242",".348",".403",".333","","119","-1.3","4.5","1.2","1.5","12144"
"Michael Harris II","ATL","31","118","4","20","17","4","2.5%","23.7%",".202",".402",".325",".347",".526",".376","","139","1.7","7.2","3.0","1.5","25931"
"J.P. Crawford","SEA","72","306","5","32","21","3","9.8%","15.0%",".119",".295",".261",".343",".381",".322","","116","0.5","6.0","-1.3","1.5","15491"
"Christian Walker","ARI","74","302","19","36","39","0","11.9%","19.9%",".265",".180",".200",".305",".465",".331","","110","0.3","3.8","0.0","1.5","13419"
"Rhys Hoskins","PHI","76","324","15","41","39","0","11.7%","25.0%",".226",".298",".251",".343",".477",".356","","127","-0.2","10.2","-7.3","1.5","16472"
"Isaac Paredes","TBR","37","118","11","18","22","0","7.6%","15.3%",".355",".190",".243",".305",".598",".380","","158","-0.2","7.5","2.8","1.5","20036"
"Ha-seong Kim","SDP","70","275","4","29","25","4","10.2%","18.9%",".117",".269",".225",".316",".342",".296","","92","-0.5","-3.1","7.2","1.4","27506"
"Anthony Rizzo","NYY","75","316","21","45","51","6","11.4%","17.4%",".281",".197",".221",".335",".502",".359","","138","-1.4","12.0","-8.3","1.4","3473"
"Mike Yastrzemski","SFG","65","260","8","35","31","0","12.3%","22.7%",".181",".291",".244",".342",".425",".337","","119","0.4","6.1","-1.7","1.4","14854"
"Omar Narvaez","MIL","44","168","2","13","14","0","10.1%","21.4%",".122",".336",".264",".351",".385",".327","","108","-0.3","1.2","6.4","1.4","13338"
"Daulton Varsho","ARI","69","283","10","34","32","4","6.7%","23.7%",".173",".271",".231",".294",".404",".305","","92","0.6","-2.0","5.6","1.4","19918"
"Amed Rosario","CLE","67","290","2","38","22","9","4.5%","14.5%",".102",".332",".287",".321",".389",".311","","103","1.6","2.5","1.8","1.4","15518"
"Bo Bichette","TOR","75","338","12","42","41","5","5.9%","24.9%",".167",".311",".255",".299",".421",".314","","101","0.2","0.8","1.9","1.4","19612"
"Brendan Donovan","STL","57","209","2","28","26","2","12.4%","17.7%",".125",".377",".307",".411",".432",".374","","144","-1.4","9.6","-3.6","1.4","24679"
"Manuel Margot","TBR","51","200","3","21","27","5","8.5%","17.5%",".121",".361",".302",".365",".423",".346","","134","1.5","9.0","-2.2","1.4","14712"
"Tommy Pham","CIN","66","281","11","46","33","6","12.5%","24.2%",".174",".301",".252",".345",".426",".339","","112","2.8","6.8","-3.5","1.4","2967"
"Andrew Benintendi","KCR","73","308","3","28","27","1","9.4%","13.6%",".087",".348",".305",".370",".393",".338","","121","-2.3","4.8","-1.4","1.4","17901"
"Harrison Bader","STL","72","264","5","35","21","15","4.9%","17.8%",".114",".297",".256",".303",".370",".297","","93","4.2","1.9","1.8","1.3","18030"
"Tyler Stephenson","CIN","42","155","5","21","31","1","7.1%","26.5%",".163",".396",".305",".361",".468",".361","","127","0.6","5.6","1.8","1.3","17988"
"Michael Brantley","HOU","64","277","5","28","26","1","11.2%","10.8%",".128",".311",".288",".370",".416",".345","","130","-1.1","8.2","-4.2","1.3","4106"
"Jorge Polanco","MIN","60","260","8","29","36","3","12.7%","21.9%",".151",".290",".244",".338",".396",".326","","114","1.1","5.1","-0.8","1.3","13152"
"Steven Kwan","CLE","61","243","1","32","19","5","11.9%","7.8%",".082",".304",".284",".374",".365",".331","","117","0.6","5.3","-0.6","1.3","24610"
"Starling Marte","NYM","65","284","7","48","36","8","4.6%","18.0%",".162",".324",".279",".327",".442",".335","","121","1.8","8.8","-6.8","1.2","9241"
"Chris Taylor","LAD","71","277","6","30","27","6","10.1%","34.3%",".176",".363",".241",".321",".416",".320","","107","1.1","3.5","-1.2","1.2","13757"
"Ryan Mountcastle","BAL","65","275","13","33","39","3","5.1%","25.8%",".209",".330",".275",".313",".484",".341","","123","-0.4","6.7","-3.4","1.2","18373"
"Matt Chapman","TOR","71","281","11","40","35","0","9.3%","24.6%",".187",".262",".223",".302",".410",".313","","101","1.4","1.7","1.4","1.2","16505"
"Victor Caratini","MIL","35","123","5","13","13","0","13.8%","19.5%",".180",".264",".240",".374",".420",".355","","126","-0.5","3.3","4.2","1.2","14968"
"Ketel Marte","ARI","67","276","4","36","22","4","10.9%","17.8%",".153",".316",".264",".351",".417",".338","","114","1.1","5.8","-3.7","1.2","13613"
"Ronald Acuna Jr.","ATL","43","196","7","28","18","13","10.2%","26.0%",".174",".357",".281",".372",".455",".361","","129","1.9","8.7","-3.8","1.2","18401"
"David Peralta","ARI","66","242","9","21","29","1","9.1%","24.0%",".203",".289",".244",".314",".447",".327","","107","-0.4","1.5","1.6","1.2","2136"
"Miguel Rojas","MIA","65","239","6","22","20","4","5.4%","11.7%",".122",".254",".243",".293",".365",".289","","87","-1.7","-5.3","8.5","1.2","7802"
"Bryan Reynolds","PIT","73","308","15","35","31","3","9.4%","23.4%",".215",".295",".258",".331",".473",".346","","122","-2.3","6.0","-5.5","1.2","19326"
"Mark Canha","NYM","62","246","6","33","29","1","9.3%","18.7%",".107",".317",".270",".358",".377",".330","","117","-0.4","4.7","-2.1","1.2","11445"
"Jorge Alfaro","SDP","43","156","6","18","24","1","4.5%","33.3%",".199",".389",".281",".314",".479",".340","","122","0.2","4.2","1.3","1.1","12180"
"Christian Yelich","MIL","75","329","7","49","28","12","11.2%","24.0%",".132",".325",".254",".341",".387",".322","","105","4.1","5.9","-6.5","1.1","11477"
"Luis Guillorme","NYM","54","174","1","22","7","1","10.3%","13.2%",".058",".354",".305",".378",".364",".334","","120","-2.9","1.3","3.4","1.1","16451"
"Trevor Larnach","MIN","51","180","5","22","18","0","10.0%","31.7%",".175",".320",".231",".306",".406",".309","","102","0.7","1.0","4.1","1.1","21501"
"Ryan McMahon","COL","74","298","6","29","37","0","11.4%","26.8%",".135",".314",".235",".329",".369",".312","","86","0.8","-4.2","4.5","1.1","15112"
"Patrick Wisdom","CHC","72","292","16","41","43","3","9.9%","34.2%",".243",".306",".232",".315",".475",".341","","117","-1.5","4.4","-4.0","1.1","13602"
"Austin Slater","SFG","53","130","5","20","17","3","15.4%","31.5%",".185",".333",".241",".362",".426",".348","","126","1.8","5.9","0.1","1.1","16153"
"Wilmer Flores","SFG","69","276","9","38","40","0","8.7%","15.6%",".164",".256",".242",".319",".406",".317","","106","0.6","2.4","-1.6","1.1","5827"
"Trey Mancini","BAL","68","295","7","30","30","0","8.5%","20.0%",".142",".335",".280",".356",".421",".342","","123","-1.4","6.3","-5.1","1.1","15149"
"Ozzie Albies","ATL","62","263","8","34","33","3","5.7%","17.5%",".161",".266",".244",".289",".405",".301","","89","1.2","-2.2","3.4","1.1","16556"
"William Contreras","ATL","37","140","9","19","19","2","10.7%","27.1%",".280",".308",".264",".343",".544",".380","","142","-1.0","6.1","-0.6","1.1","20503"
"Dylan Carlson","STL","59","229","4","25","22","4","7.9%","16.2%",".156",".293",".259",".323",".415",".322","","109","1.6","4.2","-2.0","1.1","20126"
"Michael A. Taylor","KCR","55","199","5","23","21","1","10.6%","22.6%",".132",".341",".276",".354",".408",".336","","119","-0.2","4.1","-0.3","1.0","11489"
"Wander Franco","TBR","49","208","4","27","21","4","4.8%","10.6%",".144",".273",".262",".293",".405",".300","","101","1.4","1.6","1.8","1.0","23667"
"Luis Gonzalez","SFG","49","180","3","20","24","7","8.3%","20.6%",".145",".366",".302",".361",".447",".350","","128","0.9","6.8","-3.3","1.0","20332"
"Hunter Renfroe","MIL","54","217","13","27","27","0","6.9%","24.9%",".242",".269",".247",".300",".490",".337","","115","-2.2","1.6","0.6","1.0","15464"
"Joey Wendle","MIA","29","97","2","12","11","4","7.2%","11.3%",".136",".303",".284",".340",".420",".333","","117","1.7","3.7","2.6","1.0","13853"
"Keibert Ruiz","WSN","58","238","2","19","17","4","7.6%","9.7%",".093",".276",".255",".316",".347",".296","","87","0.4","-3.4","4.5","1.0","19610"
"Thairo Estrada","SFG","70","270","6","40","31","11","5.9%","15.2%",".130",".282",".256",".311",".386",".306","","98","2.5","2.0","-2.1","1.0","16426"
"Marcus Semien","TEX","73","325","8","39","32","12","7.7%","17.2%",".133",".255",".231",".289",".364",".287","","87","4.3","-0.3","-0.6","1.0","12533"
"Eli White","TEX","47","117","3","16","10","12","9.4%","35.0%",".105",".290",".200",".274",".305",".260","","69","4.2","0.0","5.4","0.9","19346"
"Christopher Morel","CHC","40","185","7","30","20","7","8.1%","30.3%",".211",".381",".283",".342",".494",".359","","130","1.1","7.6","-5.0","0.9","21897"
"Josh Naylor","CLE","51","206","9","22","41","1","7.3%","16.0%",".215",".272",".263",".320",".478",".341","","125","-2.1","3.7","-1.1","0.9","18839"
"Seth Brown","OAK","72","252","10","24","36","7","7.1%","26.2%",".212",".269",".225",".286",".437",".311","","107","1.6","3.7","-2.6","0.9","18171"
"Josh Donaldson","NYY","59","247","6","22","22","1","11.3%","25.9%",".155",".288",".225",".320",".380",".311","","104","-1.8","-0.8","1.9","0.9","5038"
"Christian Vazquez","BOS","59","217","4","21","31","1","6.0%","16.6%",".136",".333",".291",".336",".427",".332","","114","-4.0","-0.7","2.7","0.9","9774"
"Evan Longoria","SFG","40","134","8","17","18","0","11.9%","24.6%",".248",".286",".256",".343",".504",".365","","138","-0.6","5.4","-1.3","0.9","9368"
"Brandon Marsh","LAA","70","251","6","27","31","4","6.4%","35.1%",".118",".343",".232",".285",".351",".279","","80","1.3","-4.3","5.3","0.9","20202"
"Myles Straw","CLE","72","302","0","44","9","11","11.9%","16.9%",".053",".248",".202",".298",".255",".257","","65","3.8","-8.1","7.4","0.9","17620"
"Alek Thomas","ARI","46","173","6","24","16","4","6.9%","19.7%",".158",".286",".253",".312",".411",".317","","100","2.8","2.8","-0.1","0.9","23792"
"Teoscar Hernandez","TOR","52","212","8","25","31","3","5.2%","27.4%",".201",".331",".261",".307",".462",".332","","115","0.0","3.5","-1.4","0.9","13066"
"Max Stassi","LAA","48","177","4","14","14","0","12.4%","28.8%",".116",".290",".213",".311",".329",".290","","88","-0.9","-3.2","6.2","0.9","10059"
"Danny Mendick","CHW","31","106","3","22","15","1","6.6%","21.7%",".155",".352",".289",".343",".443",".344","","127","0.9","4.1","1.0","0.9","18889"
"Anthony Rendon","LAA","45","188","5","15","24","2","12.2%","17.0%",".154",".252",".228",".324",".383",".314","","105","-0.4","0.6","1.9","0.9","12861"
"Cody Bellinger","LAD","69","281","10","34","29","9","7.5%","29.9%",".182",".267",".209",".270",".391",".289","","86","2.1","-2.5","1.0","0.9","15998"
"Jack Suwinski","PIT","58","206","13","30","23","2","8.7%","31.6%",".249",".252",".216",".296",".465",".328","","111","-0.1","2.6","-1.5","0.9","22244"
"Brian Anderson","MIA","35","131","2","22","6","1","13.0%","28.2%",".134",".384",".268",".374",".402",".344","","125","0.9","4.8","-1.2","0.9","18289"
"Dylan Moore","SEA","53","128","4","19","12","10","13.3%","25.8%",".168",".200",".168",".325",".337",".301","","101","1.7","1.9","2.3","0.9","18042"
"Harold Ramirez","TBR","62","199","3","21","25","3","7.0%","13.6%",".100",".340",".306",".357",".406",".333","","125","-0.6","5.0","-3.0","0.8","14387"
"Ramon Laureano","OAK","47","189","4","22","13","7","8.5%","22.2%",".143",".303",".244",".328",".387",".318","","113","0.5","3.1","-1.0","0.8","17128"
"Rafael Ortega","CHC","65","212","4","22","18","5","12.3%","21.2%",".128",".319",".261",".348",".389",".326","","107","-0.7","1.1","-0.5","0.8","10323"
"Connor Joe","COL","69","313","5","39","16","4","12.5%","20.1%",".122",".345",".277",".374",".399",".345","","108","-1.2","1.7","-4.5","0.8","16572"
"Adley Rutschman","BAL","32","129","3","15","9","1","7.0%","18.6%",".186",".253",".220",".287",".407",".303","","96","1.4","0.8","3.2","0.8","26288"
"Kevin Kiermaier","TBR","56","189","7","26","17","5","4.8%","29.1%",".151",".291",".229",".270",".380",".284","","90","2.7","0.5","1.5","0.8","11038"
"Austin Barnes","LAD","28","92","4","14","11","1","16.3%","19.6%",".187",".185",".187",".326",".373",".315","","103","-0.4","0.0","4.6","0.8","12158"
"Jose Siri","HOU","45","141","3","18","9","6","6.4%","31.9%",".131",".256",".185",".248",".315",".251","","63","3.0","-2.8","6.2","0.8","17452"
"Jean Segura","PHI","44","179","6","22","19","8","5.6%","14.5%",".132",".296",".275",".324",".407",".320","","103","1.3","1.9","-0.4","0.8","5933"
"Jonathan Schoop","DET","72","282","6","21","21","1","3.5%","20.9%",".119",".220",".190",".223",".309",".233","","48","1.2","-15.3","14.3","0.8","11265"
"Ryan Jeffers","MIN","53","188","5","19","20","0","10.6%","28.2%",".144",".257",".198",".283",".341",".280","","81","-0.3","-4.3","6.0","0.8","24618"
"Brendan Rodgers","COL","65","280","7","37","37","0","6.1%","17.9%",".166",".304",".266",".314",".432",".324","","94","0.0","-2.1","-0.1","0.8","17907"
"Brian Serven","COL","21","71","3","8","9","0","8.5%","21.1%",".185",".362",".308",".366",".492",".373","","126","-0.6","1.7","3.3","0.8","19422"
"Cavan Biggio","TOR","38","119","2","14","12","1","16.8%","29.4%",".168",".310",".211",".364",".379",".337","","118","1.4","3.8","-0.2","0.8","19252"
"Josh Rojas","ARI","45","186","4","25","18","5","8.6%","21.0%",".115",".296",".248",".314",".364",".297","","87","2.9","0.1","0.8","0.8","19734"
"Matt Carpenter","NYY","18","46","6","11","13","0","17.4%","26.1%",".528",".167",".250",".400",".778",".477","","222","-0.4","5.9","0.0","0.8","8090"
"Jorge Mateo","BAL","70","254","6","25","18","19","4.7%","32.3%",".136",".277",".199",".247",".335",".256","","63","1.9","-8.7","8.1","0.8","17273"
"Jared Walsh","LAA","74","290","13","33","40","1","4.8%","28.6%",".201",".328",".260",".303",".462",".328","","115","-1.8","3.2","-5.1","0.7","18607"
"Nick Fortes","MIA","14","47","3","16","8","2","10.6%","10.6%",".275",".281",".300",".404",".575",".422","","177","0.8","5.0","0.5","0.7","21538"
"Jorge Soler","MIA","67","289","13","31","34","0","10.4%","28.4%",".205",".263",".217",".306",".421",".317","","107","-0.4","2.0","-4.9","0.7","14221"
"Alex Verdugo","BOS","70","295","6","33","43","0","6.4%","10.2%",".129",".276",".266",".312",".395",".306","","95","-1.5","-3.1","1.0","0.7","17027"
"Lourdes Gurriel Jr.","TOR","69","270","4","29","33","2","5.9%","17.8%",".126",".335",".283",".337",".409",".328","","111","0.2","3.6","-5.0","0.7","19238"
"Rob Refsnyder","BOS","14","50","2","8","10","0","10.0%","10.0%",".244",".333",".341",".420",".585",".423","","178","-0.1","4.3","1.0","0.7","13770"
"Garrett Stubbs","PHI","19","53","3","6","10","1","11.3%","18.9%",".304",".333",".304",".385",".609",".422","","171","0.4","4.9","0.1","0.7","18067"
"Gary Sanchez","MIN","61","245","9","26","34","1","6.1%","27.8%",".201",".275",".223",".282",".424",".306","","99","-1.4","-1.6","0.7","0.7","11442"
"Jesse Winker","SEA","76","320","6","26","32","0","15.3%","17.5%",".116",".274",".235",".353",".351",".318","","113","-2.1","2.7","-5.9","0.7","13590"
"Victor Robles","WSN","66","195","1","24","19","7","5.6%","25.6%",".071",".317",".229",".298",".300",".271","","70","3.1","-3.9","3.8","0.7","18363"
"Rowdy Tellez","MIL","73","283","15","29","48","0","8.8%","20.5%",".240",".258",".244",".318",".484",".344","","119","-2.7","3.7","-7.0","0.7","15679"
"Franchy Cordero","BOS","48","163","3","23","20","3","10.4%","25.8%",".161",".330",".252",".331",".413",".326","","109","1.9","3.6","-2.1","0.7","14567"
